str_1164|Dummy first line
str_id_144|我 方 {s1} 加 入 战 斗。
str_id_145|这 里 的 守 卫 正 在 搜 寻 敌 人，你 没 法 轻 易 从 大 门 溜 进 去。
str_id_146|这 里 的 守 卫 警 惕 性 很 高，不 管 你 怎 么 伪 装 都 没 法 溜 进 去。
str_id_147|你 赢 得 了 这 场 战 斗！
str_id_148|你 输 掉 了 这 场 战 斗！
str_id_149|一 场 浴 血 恶 战 过 后，你 英 勇 的 士 兵 终 于 从 敌 人 手 中 夺 下 城 墙。
str_id_150|你 的 士 兵 在 冲 锋 城 墙 时 成 批 倒 下，少 数 幸 存 者 很 快 溃 逃，再 也 见 不 到 踪 影。
str_id_151|双 方 在 血 战 中 都 表 现 得 无 比 英 勇。尽 管 你 的 部 队 拼 尽 全 力，城 堡 仍 掌 握 在 敌 人 手 中。
str_id_152|你 的 士 兵 奋 勇 击 退 了 敌 人。
str_id_153|你 绝 望 地 看 着 敌 人 砍 倒 你 的 士 兵，然 后 轻 松 驱 散 了 少 数 衣 衫 褴 褛 的 幸 存 者。
str_id_154|经 过 漫 长 的 交 锋，你 的 部 队 仍 未 能 取 得 决 定 性 胜 利。
str_id_155|你 的 士 兵 与 盟 军 并 肩 奋 战，击 败 敌 人，共 享 胜 利 的 荣 耀。
str_id_156|你 绝 望 地 看 着 敌 人 砍 倒 你 的 士 兵，然 后 轻 松 驱 散 了 少 数 衣 衫 褴 褛 的 幸 存 者。
str_id_157|经 过 漫 长 的 交 锋，你 的 部 队 与 盟 军 都 未 能 对 敌 人 取 得 决 定 性 胜 利。
str_id_158|守 军 以 技 巧 与 勇 气 坚 守 城 墙，击 溃 敌 军 的 攻 势，并 将 其 败 退 变 成 一 场 全 面 溃 逃。
str_id_159|攻 城 很 快 演 变 成 一 场 屠 杀。再 英 勇 的 抵 抗 也 无 济 于 事；寡 不 敌 众 的 守 军 无 法 坚 守 城 墙，最 后 一 名 守 军 也 倒 在 敌 人 刀 下。
str_id_160|一 次 次 血 腥 的 攻 城 都 未 能 推 进 半 步，但 敌 军 仍 然 众 多，守 军 也 无 法 宣 告 真 正 的 胜 利。围 城 仍 在 继 续。
str_id_161|{s3} 的 {s1} 被 {s2} 俘 虏。
str_id_162|{s3} 的 {s1} 被 {s2} 成 功 解 救。
str_id_163|{s2} 从 {s3} 那 里 夺 取 了 {s1}。
str_id_164|你 与 {s1} 的 关 系 从 {reg1}提 升 到 {reg2}。
str_id_165|你 与 {s1} 的 关 系 从 {reg1}恶 化 为 {reg2}。
str_id_166|你 与 {s1} 的 关 系 从 {reg1}提 升 到 {reg2}。
str_id_167|你 与 {s1} 的 关 系 从 {reg1}恶 化 为 {reg2}。
str_id_168|部 队 的 士 气 加 {reg1}。
str_id_169|部 队 的 士 气 减 {reg1}。
str_id_170|{s1} 获 得 {reg1}士 气。
str_id_171|{s1} 失 去 {reg1}士 气。
str_id_172|间 谍 发 现 了 你！他 正 在 逃 跑！
str_id_173|{s3} 的 {s2}
str_id_174|{s5} 是 {s51}。
str_id_175|{s5} 是 {s51} 的 领 主。
str_id_176|{s5} 是 {s6} 的 {reg4?贵 族 女 性 :贵 族 男 性 }。
str_id_177|复 仇 心 切
str_id_178|复 仇 心 切
str_id_179|复 仇 心 切
str_id_180|憎 恨
str_id_181|憎 恨
str_id_182|敌 对
str_id_183|愤 怒
str_id_184|怨 恨
str_id_185|抱 怨
str_id_186|怀 疑
str_id_187|冷 漠
str_id_188|合 作
str_id_189|欢 迎
str_id_190|有 利
str_id_191|支 持
str_id_192|友 好
str_id_193|亲 切
str_id_194|喜 爱
str_id_195|忠 诚
str_id_196|忠 心 耿 耿
str_id_197|{s60} 与 你 不 共 戴 天。
str_id_198|{s60} 与 你 势 同 水 火。
str_id_199|{s60} 与 你 势 同 水 火。
str_id_200|{s60} 对 你 充 满 敌 意。
str_id_201|{s60} 对 你 充 满 敌 意。
str_id_202|{s60} 对 你 充 满 敌 意。
str_id_203|{s60} 正 在 生 你 的 气。
str_id_204|{s60} 对 你 心 怀 怨 恨。
str_id_205|{s60} 对 你 颇 多 抱 怨。
str_id_206|{s60} 对 你 心 存 疑 虑。
str_id_207|{s60} 对 你 漠 不 关 心。
str_id_208|{s60} 愿 意 与 你 合 作。
str_id_209|{s60} 对 你 表 示 欢 迎。
str_id_210|{s60} 对 你 颇 有 好 感。
str_id_211|{s60} 愿 意 支 持 你。
str_id_212|{s60} 对 你 十 分 友 好。
str_id_213|{s60} 对 你 亲 切 有 礼。
str_id_214|{s60} 十 分 喜 爱 你。
str_id_215|{s60} 忠 于 你。
str_id_216|{s60} 对 你 忠 心 耿 耿。
str_id_217|关 系：{reg1}
str_id_218|民 众 对 你 极 度 憎 恨
str_id_219|当 地 居 民 对 你 恨 之 入 骨
str_id_220|当 地 民 众 对 你 恨 意 深 重
str_id_221|民 众 憎 恨 你
str_id_222|当 地 居 民 非 常 憎 恨 你
str_id_223|当 地 民 众 对 你 极 度 敌 对
str_id_224|当 地 民 众 对 你 十 分 敌 对
str_id_225|当 地 民 众 敌 视 你
str_id_226|当 地 民 众 对 你 抱 有 敌 意
str_id_227|民 众 反 对 你
str_id_228|当 地 民 众 对 你 漠 不 关 心
str_id_229|民 众 接 受 你
str_id_230|民 众 与 你 合 作
str_id_231|民 众 对 你 有 些 支 持
str_id_232|民 众 支 持 你
str_id_233|民 众 非 常 支 持 你
str_id_234|当 地 民 众 忠 于 你
str_id_235|当 地 民 众 对 你 高 度 忠 诚
str_id_236|当 地 民 众 对 你 忠 心 耿 耿
str_id_237|当 地 民 众 狂 热 地 效 忠 于 你
str_id_238|{s60} 镇 的 贫 困 已 到 令 人 难 以 忍 受 的 地 步。
str_id_239|肮 脏 破 败 的 {s60} 镇 几 乎 已 被 居 民 遗 弃。
str_id_240|{s60} 镇 看 来 凄 惨 而 荒 凉。
str_id_241|{s60} 镇 看 来 贫 困 而 疏 于 维 护。
str_id_242|{s60} 镇 的 日 子 似 乎 颇 为 艰 难。
str_id_243|{s60} 镇 看 来 平 平 无 奇。
str_id_244|{s60} 镇 正 在 日 渐 兴 旺。
str_id_245|{s60} 镇 看 来 颇 为 繁 荣。
str_id_246|{s60} 镇 富 裕 而 且 维 护 得 当。
str_id_247|{s60} 镇 富 丽 奢 华。
str_id_248|金 碧 辉 煌 的 {s60} 镇 毫 不 掩 饰 自 己 的 巨 大 财 富。
str_id_249|{s60} 村 的 贫 困 已 到 令 人 难 以 忍 受 的 地 步。
str_id_250|{s60} 村 贫 困 凄 惨，民 不 聊 生。
str_id_251|{s60} 村 看 来 十 分 贫 困 而 荒 凉。
str_id_252|{s60} 村 看 来 贫 困 而 疏 于 维 护。
str_id_253|{s60} 村 的 日 子 似 乎 有 些 艰 难。
str_id_254|{s60} 村 看 来 平 平 无 奇。
str_id_255|{s60} 村 正 在 日 渐 兴 旺。
str_id_256|{s60} 村 看 来 欣 欣 向 荣。
str_id_257|{s60} 村 富 裕 而 且 维 护 得 当。
str_id_258|{s60} 村 看 来 十 分 富 裕 繁 荣。
str_id_259|{s60} 村 四 周 是 一 望 无 际 的 肥 沃 田 野，看 来 富 庶 至 极。
str_id_260|市 场 上 寥 寥 无 几 的 商 品，价 格 也 远 非 当 地 居 民 所 能 承 受。人 们 营 养 不 良，牲 畜 患 病 或 垂 死，谋 生 的 工 具 也 大 多 损 坏。后 巷 只 剩 苍 蝇 与 癞 狗 横 行。
str_id_261|城 镇 的 建 筑 与 街 道 破 败 不 堪，市 场 上 货 物 稀 少，商 品、原 料 和 工 具 都 严 重 短 缺。许 多 人 看 来 营 养 不 良，几 乎 没 有 外 来 商 人。
str_id_262|建 筑 虽 已 陈 旧，却 还 算 完 好；市 场 上 也 有 各 类 普 通 商 品。街 上 人 来 人 往，既 有 本 地 居 民，也 有 旅 人 与 小 贩。
str_id_263|人 们 衣 食 无 忧，对 生 活 也 颇 为 满 意。工 匠 生 意 兴 隆，还 有 一 些 外 来 者 被 此 地 的 机 会 吸 引，前 来 碰 碰 运 气。
str_id_264|城 墙、街 道 与 住 宅 都 维 护 得 十 分 良 好。市 场 吸 引 了 附 近 的 移 民，货 物 与 工 作 机 会 都 很 充 足。锤 声 与 织 机 声 此 起 彼 伏，工 匠 作 坊 一 派 繁 忙。
str_id_265|只 有 少 数 人 还 有 力 气 下 地 劳 作，许 多 田 地 已 被 杂 草 吞 没。其 余 村 民 或 是 虚 弱 饥 饿，或 已 逃 往 他 乡。役 畜 早 已 饿 死 或 被 吃 掉，村 外 仍 散 落 着 几 具 被 野 兽 啃 咬 的 尸 骸。
str_id_266|田 间 只 有 少 数 农 民 与 牲 畜，他 们 的 数 量 暗 示 一 些 村 民 正 为 寻 找 食 物 而 迁 往 他 乡。农 具 锈 蚀 破 损，灌 木 与 杂 草 正 重 新 侵 占 外 围 田 地。
str_id_267|田 地 与 果 园 里 一 片 忙 碌，村 民 正 按 时 节 劳 作。人 与 牲 畜 看 来 都 颇 为 健 康，食 物 也 很 充 足。不 过，最 外 围 仍 有 少 数 田 地 尚 未 播 种，一 些 围 墙 也 急 需 修 缮，可 见 人 手 仍 有 不 足。
str_id_268|田 地 与 果 园 忙 碌 非 凡。装 满 谷 物 的 口 袋 和 晾 晒 中 的 肉 食，证 明 村 庄 的 农 田 与 牧 场 产 出 丰 厚。
str_id_269|田 地 与 果 园 忙 碌 非 凡。新 挖 的 灌 溉 渠 表 明 农 民 尚 有 余 暇 与 精 力 扩 大 耕 地。季 节 工 也 纷 纷 来 此 帮 工，共 享 村 庄 的 繁 荣。
str_id_270|棕 榈 林 几 乎 已 被 遗 弃，灌 溉 水 渠 也 被 淤 泥 堵 塞。仅 见 的 几 名 村 民 营 养 不 良、神 情 不 安。役 畜 早 已 饿 死 或 被 吃 掉，村 外 仍 有 尸 骸 任 由 沙 漠 胡 狼 啃 咬。
str_id_271|只 有 少 数 村 民 还 在 照 料 棕 榈 林，有 些 园 地 已 遭 沙 丘 侵 蚀。许 多 水 渠 被 淤 泥 堵 塞，水 井 与 蓄 水 池 也 灌 满 了 沙 子。
str_id_272|男 女 村 民 忙 着 照 料 棕 榈 林，爬 上 树 冠 为 枣 椰 授 粉。健 康 的 役 畜 拉 动 水 泵 与 水 轮，将 水 引 入 田 地。不 过，一 些 水 渠 与 蓄 水 池 已 需 要 维 修。
str_id_273|棕 榈 林 与 果 园 里 一 片 忙 碌。农 民 站 在 树 冠 间 为 枣 椰 授 粉，彼 此 欢 快 呼 喊。木 泵 的 吱 嘎 声、役 畜 的 低 吼 与 流 水 声，无 不 说 明 这 套 灌 溉 系 统 在 村 民 的 悉 心 照 料 下 运 转 良 好。
str_id_274|棕 榈 林 忙 碌 非 凡，农 民 正 将 丰 收 的 椰 枣 装 车 运 往 市 场。男 女 村 民 还 在 挖 掘 新 井 与 水 渠，将 更 多 土 地 纳 入 灌 溉。
str_id_275|成 片 的 耕 地
str_id_276|成 片 的 果 园 和 葡 萄 园
str_id_277|成 片 的 灌 溉 绿 洲 园 地
str_id_278|织 布 机
str_id_279|小 船
str_id_280|若 干 头 牛
str_id_281|若 干 只 羊
str_id_282|磨 房
str_id_283|窑 炉
str_id_284|盐 盘
str_id_285|矿 藏
str_id_286|蜂 箱
str_id_287|酿 酒 厂
str_id_288|榨 坊
str_id_289|铁 匠 铺
str_id_290|陆 地 商 队
str_id_291|陷 阱
str_id_292|小 花 园
str_id_293|鞣 革 池
str_id_294|磨 坊 大 师
str_id_295|酿 酒 大 师
str_id_296|榨 坊 大 师
str_id_297|锻 造 大 师
str_id_298|制 革 大 师
str_id_299|织 造 大 师
str_id_300|大 师 染 工
str_id_301|这 场 战 争 看 来 败 局 已 定
str_id_302|现 在 的 形 势 看 起 来 有 些 严 峻
str_id_303|战 事 进 展 得 不 太 顺 利
str_id_304|如 果 我 们 能 振 作 起 来，我 们 还 是 可 以 赢 得 这 场 战 争 的
str_id_305|我 们 与 敌 人 势 均 力 敌
str_id_306|我 们 有 一 定 机 会 赢 得 这 场 战 争
str_id_307|战 事 进 展 得 非 常 顺 利
str_id_308|打 败 他 们 完 全 不 成 问 题
str_id_309|我 们 几 乎 要 赢 得 这 场 战 争 了
str_id_310|你 竭 尽 全 力 说 服 {s50}，却 连 一 个 像 样 的 论 点 都 没 说 清。每 当 话 语 似 乎 开 始 有 些 道 理，你 又 会 说 出 完 全 错 误 的 东 西，把 自 己 带 离 正 题。最 后，你 没 能 提 出 任 何 有 利 于 自 己 的 连 贯 论 点，反 而 越 陷 越 深。毫 无 疑 问，{s50} 对 此 毫 无 好 感。
str_id_311|你 试 图 说 服 {s50}，但 {reg51?她 :他 } 从 一 开 始 就 在 言 辞 上 压 过 了 你。就 连 你 自 己 听 来，最 好 的 论 点 也 空 洞 无 力；{s50} 对 你 的 说 辞 同 样 没 有 多 少 好 评。
str_id_312|{s50} 原 来 是 一 位 思 维 敏 锐、能 言 善 辩 的 人；无 论 你 提 出 什 么 具 体 论 点，{reg51?她:他} 都 能 理 性 反 驳。讨 论 结 束 时，双 方 谁 也 没 能 占 到 上 风。
str_id_313|凭 借 敏 捷 的 思 维 与 流 畅 的 辩 论，你 清 楚 地 陈 述 了 自 己 的 立 场，迫 使 {s50} 在 几 个 问 题 上 让 步。不 过，{reg51?她 :他 } 对 你 的 请 求 仍 有 疑 虑。
str_id_314|你 发 表 了 一 番 慷 慨 激 昂 的 演 说，在 听 众 耳 中 如 诗 歌 般 回 荡，整 个 世 界 仿 佛 都 安 静 下 来 倾 听。精 彩 的 话 语 深 深 打 动 了 {s50}，{reg51?她:他} 如 今 显 然 更 愿 意 帮 助 你。
str_id_315|大 衣 柜 在 午 夜 的 时 候 跳 起 舞 来……
str_id_316|我 正 在 卖 这 些 阿 拉 比 挂 毯。你 想 买 一 条 吗？
str_id_317|一 位 朋 友 的 朋 友 托 我 带 来……
str_id_318|东 风 劲 吹，河 水 如 血……
str_id_319|可 他 究 竟 是 为 梳 妆 柜 起 舞，还 是 为 烛 台 起 舞？
str_id_320|是 的，我 想 买 一 条，你 有 蓝 色 的 吗？
str_id_321|可 是，朋 友，你 朋 友 的 朋 友 再 也 找 不 到 像 我 这 样 的 朋 友 了。
str_id_322|你 生 病 了 吗？
str_id_323|地 下 城 长 度 很 短
str_id_324|地 下 城 长 度 中 等
str_id_325|地 下 城 长 度 很 长
str_id_326|自 从 你 上 次 在 此 败 退 后，地 下 城 已 被 清 空。现 在 这 里 什 么 也 没 有。
str_id_327|你 已 经 成 功 地 征 服 了 这 个 地 下 城。没 有 额 外 的 挑 战 了。
str_id_328|你 未 能 完 成 地 下 城 便 仓 皇 逃 走，里 面 的 居 民 随 后 携 带 财 宝 离 开。现 在 这 里 什 么 也 没 有。
str_id_329|沃 巴 得
str_id_330|依 斯 卡 尔
str_id_331|西 格 马
str_id_332|泰 尔 斯 科
str_id_333|里 特 曼 德
str_id_334|艾 尔 斯
str_id_335|劳 尔 克
str_id_336|布 莱 格 马 斯
str_id_337|塔 尔
str_id_338|莱 明
str_id_339|叙 尔 科
str_id_340|普 它
str_id_341|塔 玛 斯
str_id_342|里 查 德
str_id_343|沃 奇 斯
str_id_344|鲁 尔 克
str_id_345|马 伦 德
str_id_346|奥 格 伦
str_id_347|代 纳 德
str_id_348|卓 亚
str_id_349|莱 玛
str_id_350|卡 尔 达 朗
str_id_351|布 拉 巴 斯
str_id_352|昆 均
str_id_353|帕 奇 拉 克
str_id_354|潇 洒 的 {s50}
str_id_355|米 登 海 姆 的 {s50}
str_id_356|基 斯 里 夫 的 {s50}
str_id_357|嗜 汤 如 命 的 {s50}
str_id_358|快 活 的 {s50}
str_id_359|女 王 密 语 者 {s50}
str_id_360|莫 德 海 姆 的 {s50}
str_id_361|半 醉 的 {s50}
str_id_362|驯 兽 大 师 {s50}
str_id_363|阿 尔 道 夫 的 {s50}
str_id_364|勇 者 {s50}
str_id_365|{s50} 大 师
str_id_366|阿 图 瓦 的 {s50}
str_id_367|猎 犬 {s50}
str_id_368|小 圆 子 {s50}
str_id_369|祝 福 者 {s50}
str_id_370|卢 琪 纳 的 {s50}
str_id_371|森 林 漫 步 者 {s50}
str_id_372|努 恩 的 {s50}
str_id_373|因“巴 托 尼 亚 达 人 秀”成 名 的 {s50}
str_id_374|长 人 {s50}
str_id_375|消 瘦 的 {s50}
str_id_376|丝 须 {s50}
str_id_377|麻 雀 {s50}
str_id_378|穷 汉 {s50}
str_id_379|疤 面 {s50}
str_id_380|俊 美 的 {s50}
str_id_381|冷 酷 的 {s50}
str_id_382|赤 红 的 {s50}
str_id_383|漆 黑 的 {s50}
str_id_384|高 个 子 {s50}
str_id_385|星 眸 {s50}
str_id_386|无 畏 的 {s50}
str_id_387|勇 敢 的 {s50}
str_id_388|狡 猾 的 {s50}
str_id_389|胆 小 的 {s50}
str_id_390|聪 慧 的 {s50}
str_id_391|迅 捷 的 {s50}
str_id_392|吟 游 诗 人 {s50}
str_id_393|大 胆 的 {s50}
str_id_394|暴 脾 气 {s50}
str_id_395|surnames end
str_id_396|巴 泽 拉 克
str_id_397|埃 扎 尔
str_id_398|扎 德 拉 赫
str_id_399|阿 斯 莫 鲁
str_id_400|南 多 尔
str_id_401|杀 敌 数：{reg1}
str_id_402|伤 敌 数：{reg1}
str_id_403|我 方 阵 亡：{reg1}
str_id_404|我 方 受 伤：{reg1}
str_id_405|撤 退！
str_id_406|继 续 战 斗……
str_id_407|我 方 伤 亡：{s10}^敌 方 伤 亡：{s11}^{s12}
str_id_408|你 受 到 {reg1}点 伤 害。
str_id_409|任 务 日 志 更 新……
str_id_410|你 被 授 予 携 带 旗 帜 的 权 利。旗 帜 是 身 份 与 荣 耀 的 象 征。你 想 选 择 哪 种 旗 帜？
str_id_411|直 到 太 晚 你 才 意 识 到 你 的 钱 不 够 花。你 很 快 就 把 那 点 积 蓄 挥 霍 一 空，几 次 试 图 重 新 开 始 冒 险 也 都 失 败。最 终 你 在 {s9} 沦 为 乞 丐，靠 施 舍 和 教 会 救 济 度 日。{reg33?:}
str_id_412|直 到 为 时 已 晚，你 才 发 现 自 己 的 钱 根 本 撑 不 了 多 久。那 点 微 薄 积 蓄 很 快 被 挥 霍 一 空；当 最 后 一 枚 金 币 也 从 手 中 消 失，你 被 迫 在 {s9} 的 后 街 小 巷 里 走 上 犯 罪 道 路，靠 抢 掠 妇 女 和 穷 苦 市 民 的 几 枚 铜 板 勉 强 度 日。
str_id_413|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了。即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱，最 后 作 为 一 个 身 无 分 文 的 流 浪 者，从 一 个 酒 馆 漂 流 到 另 一 个 酒 馆，靠 讲 些 没 人 相 信 的 战 争 故 事 来 讨 口 酒 喝。
str_id_414|你 的 积 蓄 很 快 便 所 剩 无 几，但 仍 足 够 在 {s7} 村 附 近 买 下 一 小 块 土 地。你 在 那 里 成 为 自 由 农 民，不 久 便 吸 引 了 不 少 潜 在 的 {reg33?丈 夫 :妻 子 }。久 而 久 之，村 民 把 你 当 作 当 地 英 雄：宴 会 上 总 有 你 的 尊 位，酒 馆 里 也 一 遍 遍 传 颂 你 的 事 迹，让 后 世 子 孙 永 远 记 得 你。{reg33?:}{reg33?:}
str_id_415|你 的 积 蓄 很 快 便 所 剩 无 几，但 仍 足 够 在 {s9} 买 下 一 间 小 酒 馆。起 初 当 地 人 对 你 颇 为 戒 备，却 很 快 接 纳 了 你。随 着 生 意 兴 隆，酒 馆 成 为 广 受 欢 迎 的 宴 饮 与 聚 会 场 所；人 们 从 数 里 外 赶 来 投 宿、吃 喝，只 为 一 睹 你 的 风 采，听 你 讲 述 冒 险 岁 月 的 传 奇。
str_id_416|你 在 职 业 生 涯 中 明 智 地 储 蓄，现 在 你 的 银 币 和 智 慧 让 你 能 进 行 一 些 优 质 投 资 来 巩 固 未 来。在 {s9} 买 下 几 家 店 铺 和 仓 库 后，你 的 精 明 使 你 成 为 镇 上 最 杰 出 的 商 人 之 一，你 很 快 成 为 富 有 的 {reg33?女 人 :男 人 }，以 贸 易 帝 国 和 战 斗 事 迹 同 样 闻 名。{reg33?:}
str_id_417|哪 怕 只 是 一 名 小 领 主，拥 有 土 地 也 足 以 保 证 你 的 未 来。你 定 居 于 {s7} 的 堡 邸，管 理 村 庄 与 田 地，审 理 地 方 纠 纷，并 向 封 君 履 行 义 务。偶 尔 封 君 会 召 你 随 军 出 征，但 时 间 都 不 长，你 再 也 没 有 真 正 回 到 年 轻 时 的 冒 险 生 活。你 已 功 成 名 就；凭 借 自 己 的 宅 邸、封 地 与 财 富，世 间 已 少 有 求 而 不 得 之 物。
str_id_418|毫 无 疑 问，你 已 为 自 己 赢 得 了 极 好 的 前 程。广 阔 的 领 地 与 冒 险 所 得，足 以 保 证 余 生 富 足 安 逸。你 退 居 {s8} 的 贵 族 府 邸，以 政 治 取 代 冒 险，很 快 便 在 封 君 的 王 国 中 成 为 举 足 轻 重 的 人 物。权 谋 足 以 排 遣 时 日，私 家 林 地 可 供 狩 猎，大 厅 可 供 宴 饮，更 有 上 百 个 战 争 故 事 可 供 讲 述；往 后 的 岁 月 自 然 不 会 无 趣。
str_id_419|作 为 对 你 能 干 忠 诚 服 务 的 奖 励，领 主 下 令 授 予 你 世 袭 头 衔，加 入 王 国 的 主 要 贵 族。很 快 你 完 成 授 职 成 为 {s7} 男 爵，成 为 领 主 的 亲 近 顾 问 和 副 官 之 一。你 的 名 声 带 来 大 量 隐 性 影 响 力 和 显 性 政 治 权 力。现 在 你 终 日 玩 权 力 游 戏，管 理 广 大 封 地，重 温 冒 险 与 荣 耀 的 旧 时 光。{reg33?:}{reg33?:}{reg33?:}{reg33?:}
str_id_420|虽 然 你 出 身 卑 微，但 领 主 高 度 尊 重 你，当 他 授 予 你 {s9} 的 世 袭 {reg33?女 伯 爵 :伯 爵 } 头 衔 时，王 国 震 惊。广 阔 的 封 地 和 财 富 现 在 由 你 统 治。你 迅 速 成 为 领 主 最 信 任 的 顾 问，几 乎 平 等，负 责 管 理 他 的 王 国，你 在 自 己 辉 煌 宫 殿 的 王 座 上 成 为 旧 世 界 最 有 权 势 的 人 物 之 一。{reg33?:}{reg33?:}
str_id_421|攻 击 无 辜 的 村 民
str_id_422|偷 窃 贫 穷 村 民 的 东 西
str_id_423|劫 掠 商 队
str_id_424|将 人 贩 卖 为 奴 隶
str_id_425|耗 尽 粮 食
str_id_426|无 法 支 付 军 饷
str_id_427|让 我 方 在 每 场 战 斗 中 都 血 流 成 河
str_id_428|向 敌 人 投 降
str_id_429|临 阵 逃 跑
str_id_430|向 普 通 强 盗 交 钱 买 路
str_id_431|辜 负 以 荣 誉 接 下 的 任 务
str_id_432|挥 霍 别 人 托 付 给 我 们 的 钱 财
str_id_433|卷 入 冷 血 谋 杀
str_id_434|替 某 位 贵 族 抓 捕 农 奴
str_id_435|战 斗 最 激 烈 的 时 刻 我 们 分 散 了
str_id_436|我 受 了 重 伤，躺 着 等 死
str_id_437|我 被 击 昏 了
str_id_438|我 被 俘，并 遭 到 扣 押 勒 索
str_id_439|我 被 抓 但 后 来 设 法 逃 脱
str_id_440|我 对 你 选 择 的 同 伴 {s6}，对 你 的 领 导 方 式 {s7}，对 眼 下 的 总 体 局 势 {s8}
str_id_441|满 足
str_id_442|感 到 满 意
str_id_443|感 到 担 忧
str_id_444|一 点 都 不 喜 欢
str_id_445|感 到 震 惊
str_id_446|士 气：{reg1}
str_id_447|兴 致 高 昂
str_id_448|心 满 意 足
str_id_449|疲 惫 不 堪
str_id_450|牢 骚 满 腹
str_id_451|痛 苦 不 堪
str_id_452|这 里
str_id_453|只 有 傻 瓜 才 会 在 我 喝 巴 格 曼 XXXXXX时 打 扰 我。趁 我 还 没 用 斧 头 劈 开 你 的 脑 袋，赶 紧 滚。
str_id_454|日 安，冒 险 者。若 我 没 看 错，你 正 是 一 名 冒 险 者 吧？{reg33?:}{reg33?:}
str_id_455|我 本 想 祝 你 平 安，可 你 干 的 这 一 行 恐 怕 很 难 得 到 安 宁。
str_id_456|你 好 {reg33?女 士 :先 生 }。
str_id_457|你 需 要 一 个 杀 手，是 吧？
str_id_458|告 诉 我，陌 生 人：离 开 这 座 城 市 后，你 打 算 踏 上 哪 条 道 路？{reg33?:}
str_id_459|无 敌 之 身，绝 不 另 行 加 价。
str_id_460|打 扰 一 下，你 似 乎 洒 了 一 些 饮 料 在 你 的 盔 甲 上。让 我 看 看。
str_id_461|若 你 是 那 种 自 诩 荣 誉 的 骑 士，就 给 我 滚；不 是 的 话，坐 下。
