dlga_1164|Dummy first line
dlga_id:chevalier_intro_1|你 好 大 的 胆 子，竟 敢 靠 近 这 支 贵 族 军 队！这 里 没 有 你 的 事。快 滚，否 则 我 就 像 宰 掉 一 条 瘸 腿 猎 犬 那 样 宰 了 你。
dlga_id:chevalier_final|放 了 你 的 囚 犯，否 则 你 今 日 就 要 死 在 我 手 上。
dlga_id:close_window_5|我 这 就 离 开。
dlga_id:close_window_6|愚 昧 是 一 个 人 最 可 悲 的 缺 陷。很 好，让 你 的 部 队 准 备 受 死 吧—— 他 们 撑 不 了 多 久。
dlga_id:chevalier_bargain|等 等！等 等！求 你 别 杀 我！不，不 要……我 求 你 了，饶 我 一 命！
dlga_id:chevalier_choice|金 子……对，我 会 给 你 金 子！饶 我 一 命，我 能 让 你 发 大 财。你 意 下 如 何？
dlga_id:close_window_7|哈 哈 哈，省 省 你 的 话 吧，可 悲 的 懦 夫。现 在 就 去 死，迎 接 你 应 得 的 下 场……
dlga_id:close_window.1_2|很 好，蛆 虫。把 金 子 拿 出 来，我 便 放 你 一 条 生 路。
dlga_id:close_window_8|你 败 了。诸 位，立 刻 杀 掉 囚 犯，再 把 这 块 无 用 的 烂 肉 扔 进 灌 木 丛。{reg33?她:他} 不 值 得 我 们 再 浪 费 一 刻。
dlga_id:chevalier_intro_1.1|我 的 耐 心 就 要 耗 尽 了。滚！
dlga_id:close_window_9|我 觉 得 他 不 会 来 了……
dlga_id:maldrex_the_harbinger_liberated_map|我 们 可 以 动 身 了 吗？
dlga_id:close_window.1_3|我 们 必 须 继 续 赶 路。
dlga_id:maldrex_the_harbinger_liberated_battle_2a|我 们 得 走 了。克 拉 斯 就 在 附 近，很 快 便 会 找 到 我 们。
dlga_id:close_window_10|那 就 一 刻 也 别 耽 搁。
dlga_id:maldrex_the_harbinger_liberated_battle_2b|在 这 里 稍 候，我 很 快 就 回 来 接 你。
dlga_id:close_window_11|别 耽 搁 太 久，我 们 很 快 就 得 开 拔。
dlga_id:maldrex_the_harbinger_liberated_map_2a|是 的，我 们 立 刻 离 开。
dlga_id:close_window_12|我 们 动 身 吧。
dlga_id:maldrex_the_harbinger_liberated_map_2b|再 在 这 里 等 上 一 阵。
dlga_id:close_window_13|不 要 无 谓 拖 延，我 们 已 深 入 敌 境。
dlga_id:maldrex_the_harbinger_liberated_battle|多 谢 你 救 我 脱 困。我 就 知 道 克 拉 斯 会 派 人 来。看 着 那 些 出 身 高 贵 的 渣 滓 死 去，实 在 令 人 畅 快；用 不 了 多 久，还 会 有 成 千 上 万 人 遭 受 同 样 的 命 运。
dlga_id:close_window.2|该 死 的 {playername}！你 的 失 败 令 我 们 错 失 了 荣 耀。此 事 我 们 不 会 忘 记，更 不 会 原 谅。
dlga_id:evil_robbed_choice|你 当 受 重 赏，{playername}。我 会 让 你 的 威 名 传 遍 北 方 诸 地。说 吧，你 要 7500枚 金 币，还 是 一 件 随 机 特 殊 物 品？
dlga_id:evil_robbed_gold|我 要 7500枚 金 币。
dlga_id:evil_robbed_random|我 要 一 件 随 机 特 殊 物 品。
dlga_id:close_window_14|乐 意 之 至，{playername}。愿 你 的 宏 图 终 得 实 现；我 的 庄 园 随 时 欢 迎 你。{reg33?:}
dlga_id:close_window_15|乐 意 之 至，{playername}。愿 你 的 宏 图 终 得 实 现；我 的 庄 园 随 时 欢 迎 你。{reg33?:}
dlga_id:close_window.3|看 来，我 只 信 对 了 你 一 半，{playername}。我 兄 弟 得 救 了，为 此 我 感 谢 你；但 你 的 任 务 本 是 杀 死 塔 格 里 姆，使 他 再 也 无 法 觊 觎 我 家 的 传 家 宝。既 然 你 放 他 逃 走，便 只 能 得 到 一 半 金 币，也 不 能 选 择 武 器。
dlga_id:good_robbed_intro|多 谢 你 前 来 相 见，{playername}。我 知 道 你 的 时 间 宝 贵，就 开 门 见 山 吧。我 的 兄 弟 阿 纳 尔 德 斯 已 经 神 志 尽 失，整 日 卧 床 喃 喃 自 语。这 一 切，都 是 扎 尔 邪 术 所 致。
dlga_id:good_robbed_main|他 怎 么 会 惹 上 混 沌 矮 人 的 邪 术？
dlga_id:good_robbed_main2|他 什 么 也 没 做，我 们 更 不 曾 招 惹 他 们。一 名 混 沌 矮 人 术 士 为 了 我 家 的 古 老 传 家 宝 盯 上 了 我 们。那 是 一 块 黑 曜 石；若 落 入 他 们 手 中，便 会 赋 予 他 们 可 怕 的 力 量。
dlga_id:good_robbed_possessed|一 位 法 师 大 师 曾 警 告 我 们，他 们 甚 至 可 能 借 助 那 块 石 头 的 力 量 发 动 全 面 入 侵。我 们 一 直 将 它 藏 在 安 全 之 处，他 们 从 未 找 到；如 今，他 们 却 拿 我 的 兄 弟 作 筹 码。
dlga_id:good_robbed_possessed2|那 名 术 士 似 乎 已 经 控 制 了 我 兄 弟 的 心 智。他 如 今 几 乎 不 成 人 形；除 非 我 交 出 黑 曜 石，否 则 他 们 就 会 让 他 永 远 维 持 这 副 模 样。这 种 命 运 比 死 亡 更 可 怕，而 亲 眼 看 着 他 受 此 折 磨，几 乎 摧 毁 了 我 的 家 族。
dlga_id:good_robbed_possessed3|无 论 如 何，我 们 绝 不 能 把 石 头 交 给 他 们。但 有 人 向 我 保 证，只 要 杀 死 那 名 术 士，法 术 便 会 解 除。我 希 望 你 能 助 我 一 臂 之 力。
dlga_id:good_robbed_answer|他 正 在 奥 比 恩—— 北 方 诸 地 之 间 的 孤 岛—— 等 我 带 着 石 头 赴 约。我 要 你 前 往 那 里，替 我 杀 了 他。若 你 能 解 除 我 兄 弟 身 上 的 可 怕 咒 术，我 必 有 重 赏。
dlga_id:good_robbed_agree|很 好，我 会 帮 你 救 回 兄 弟。
dlga_id:good_robbed_options|你 所 说 的 重 赏，究 竟 是 什 么？
dlga_id:close_window_16|我 无 意 插 手 你 的 困 境。你 最 好 向 自 己 的 领 主 求 援。
dlga_id:good_robbed_ask|只 要 你 替 我 办 成 此 事，我 便 赏 你 一 件 随 机 特 殊 物 品，或 7500枚 金 币。对 任 何 冒 险 者 而 言，这 都 是 一 笔 厚 赏。现 在，你 意 下 如 何？
dlga_id:good_robbed_agree_2|很 好，我 会 帮 你 救 回 兄 弟。
dlga_id:close_window_17|我 无 意 插 手 你 的 困 境。你 最 好 向 自 己 的 领 主 求 援。
dlga_id:close_window_18|多 谢 你，{playername}。我 的 家 人 听 到 这 个 消 息，定 会 如 释 重 负。带 上 你 的 军 队 前 往 奥 比 恩，消 灭 那 个 邪 恶 生 物。我 的 斥 候 会 留 意 你 的 行 踪；事 成 之 后，我 会 在 几 天 内 来 找 你。
dlga_id:close_window.4|这 是 一 场 灾 难，{playername}。我 的 兄 弟 死 了，家 人 也 陷 入 绝 望。你 辜 负 了 我，而 我 也 错 在 高 估 了 你 的 本 事。我 为 你 的 损 失 感 到 遗 憾，但 既 然 事 情 没 办 成，自 然 也 不 会 有 报 酬。
dlga_id:good_robbed_choice|你 终 于 来 了，亲 爱 的 {playername}。你 拯 救 了 我 的 家 人，也 彻 底 消 灭 了 塔 格 里 姆。我 的 兄 弟 已 经 恢 复 如 常，混 沌 矮 人 的 威 胁 也 终 于 结 束。我 们 永 远 感 激 你 的 恩 情。现 在，请 选 择 你 的 报 酬 吧。
dlga_id:good_robbed_gold|我 要 7500枚 金 币。
dlga_id:good_robbed_random|我 要 一 件 随 机 特 殊 物 品。
dlga_id:close_window_19|乐 意 之 至，{playername}。愿 你 的 宏 图 终 得 实 现；我 的 庄 园 随 时 欢 迎 你。{reg33?:}
dlga_id:close_window_20|乐 意 之 至，{playername}。愿 你 的 宏 图 终 得 实 现；我 的 庄 园 随 时 欢 迎 你。{reg33?:}
dlga_id:chaos_dwarf_intro_1|你 离 故 土 很 远，而 这 里 并 不 欢 迎 你。
dlga_id:chaos_dwarf_intro_1.1|我 的 耐 心 就 要 耗 尽 了。别 逼 我 把 你 碾 成 灰 烬。
dlga_id:chaos_dwarf_challenge|准 备 受 死 吧，塔 格 里 姆 术 士！你 的 邪 恶 再 也 无 法 荼 毒 这 个 世 界。
dlga_id:close_window_21|我 这 就 离 开。
dlga_id:chaos_dwarf_reason|蠢 货 总 是 死 得 很 快，追 随 他 们 的 人 也 一 样。你 把 自 己 的 部 队 领 进 了 坟 墓—— 究 竟 为 什 么？
dlga_id:chaos_dwarf_final|你 以 亵 渎 自 然 的 邪 术 操 纵 无 辜 者 的 心 智。若 让 你 得 到 那 块 黑 曜 石，只 会 给 这 片 土 地 带 来 痛 苦 与 灾 难。仅 凭 这 一 点，便 足 以 让 我 将 你 和 你 的 军 队 彻 底 铲 除。
dlga_id:close_window_22|哈 哈，原 来 约 瑟 夫 选 择 这 样 回 应 我 的 最 后 通 牒。看 来 他 是 个 蠢 货，你 也 一 样。能 活 下 来 的 话，就 尽 管 自 卫 吧！
dlga_id:targrim_bargain|等 等！求 你 别 杀 我！我 会 解 除 阿 纳 尔 德 斯 身 上 的 咒 术，并 发 誓 永 远 不 再 踏 上 这 片 土 地。只 要 你 放 我 走，我 一 定 照 做。
dlga_id:close_window_23|只 要 杀 了 你，这 些 事 自 然 都 能 得 到 保 证。你 太 危 险 了，绝 不 能 留 你 活 命。还 有 什 么 遗 言，现 在 就 说 吧……
dlga_id:close_window.1_4|很 好，立 刻 解 除 他 的 咒 术。记 住，若 我 们 再 度 相 逢，我 绝 不 会 再 手 下 留 情。
dlga_id:close_window.5|方 才 还 那 般 自 信，如 今 却 跪 倒 在 我 面 前，麾 下 军 队 也 已 化 作 废 墟。你 失 败 了，约 瑟 夫 也 失 败 了。他 的 兄 弟 将 为 此 付 出 生 命。{reg33?:}
dlga_id:potion_introduce_1|日 安，旅 人。
dlga_id:potion_introduce_2|日 安。能 谈 谈 你 经 营 的 买 卖 吗？
dlga_id:potion_choice|日 安，旅 人。今 天 需 要 些 什 么？{reg33?:}
dlga_id:potion_introduce_3|如 今 药 水 已 十 分 难 得。不 过，我 在 魔 法 行 会 里 有 几 位 朋 友，他 们 偶 尔 会 给 我 送 来 一 些，我 再 转 卖 给 你 这 样 的 冒 险 者。
dlga_id:potion_introduce_4|这 些 药 水 该 如 何 使 用？
dlga_id:potion_sell|我 想 看 看 你 的 存 货。
dlga_id:potion_introduce_5|当 然 是 喝 下 去，而 且 味 道 其 实 不 坏。（当 你 的 物 品 栏 中 有 药 水 时，营 地 菜 单 会 出 现 饮 用 药 水 的 选 项。选 择 想 喝 的 药 水，它 便 会 生 效。）
dlga_id:potion_introduce_3_2|有 些 药 水 会 立 刻 产 生 一 次 性 效 果，另 一 些 则 会 在 短 时 间 内 持 续 生 效。
dlga_id:potion_decide|你 可 以 直 接 查 看 我 的 存 货。有 时 我 也 会 推 出 随 机 药 水 组 合，价 格 比 单 独 购 买 更 便 宜。
dlga_id:potion_choice_2|这 些 就 是 我 目 前 能 提 供 的 货 物。
dlga_id:potion_inventory|我 想 看 看 你 的 存 货。
dlga_id:potion_random|我 想 买 一 份 随 机 药 水 组 合。
dlga_id:close_window_24|就 这 些，多 谢。
dlga_id:potion_complete|当 然。
dlga_id:potion_choice_3|还 需 要 别 的 吗？
dlga_id:potion_options|好，这 些 就 是 我 能 提 供 的 优 惠。看 中 哪 一 份，尽 管 告 诉 我。
dlga_id:potion_one_sell|我 要 1瓶 随 机 药 水，价 格 是 150枚 金 币。
dlga_id:potion_two_sell|我 要 2瓶 随 机 药 水，价 格 是 275枚 金 币。
dlga_id:potion_three_sell|我 要 3瓶 随 机 药 水，价 格 是 425枚 金 币。
dlga_id:potion_complete_2|暂 时 不 用。
dlga_id:potion_complete_3|很 好，愿 这 些 药 水 合 你 心 意。
dlga_id:potion_complete_4|很 好，愿 这 些 药 水 合 你 心 意。
dlga_id:potion_complete_5|很 好，愿 这 些 药 水 合 你 心 意。
dlga_id:lco_conversation_end|给 你。
dlga_id:award_fief_to_vassal_defer|我 想 暂 缓 任 命 新 领 主，先 听 听 臣 属 们 的 意 见。
dlga_id:close_window_26|如 你 所 愿，{reg33?女 士:大 人}。此 事 可 以 日 后 再 作 决 定。
dlga_id:close_window_27|如 你 所 愿，{reg33?女 士:大 人}。{reg6?我:{reg7?你:{s11}}}将 成 为 {s1} 的 新 任 {reg33?女 领 主:领 主}。
dlga_id:center_captured_rebellion|{s1} 尚 无 人 治 理。该 由 谁 来 掌 管？
dlga_id:center_captured_rebellion_2|{s1} 尚 无 人 治 理。我 该 将 它 交 给 谁？
dlga_id:center_captured_rebellion_2.1|{reg0?{s65}:请 将 {s65}}，我 想 将 {s1} 留 给 自 己。（封 地：{s0}）
dlga_id:center_captured_rebellion_2.2|{s66}，你 应 当 将 {s1} 留 给 自 己。（封 地：{s0}）
dlga_id:center_captured_rebellion_2_defer|暂 且 不 要 任 命 任 何 人，日 后 再 作 决 定。
dlga_id:close_window_28|嗯……好 吧，{playername}。我 十 分 看 重 你 的 建 议。{s1} 的 领 主 任 命 便 暂 且 搁 置。
dlga_id:close_window_29|嗯……好 吧，{playername}。我 十 分 看 重 你 的 建 议。{reg6?我 :{reg7?你 :{s11}}}将 成 为 {s1} 的 新 任 {reg3?女 领 主 :领 主 }。
dlga_id:fighter_talk|你 好。我 们 正 在 以 对 练 磨 砺 身 手。看 起 来 你 也 需 要 练 上 几 招，不 妨 加 入 我 们。若 有 任 何 战 斗 方 面 的 疑 问，尽 管 开 口，我 会 尽 力 为 你 讲 解。
dlga_id:fighter_talk.1|你 想 练 习 哪 一 项？
dlga_id:fighter_talk_2|说 吧，你 想 进 行 哪 种 练 习？
dlga_id:fighter_talk_train_attack|我 想 练 习 进 攻。
dlga_id:fighter_talk_train_parry|我 想 练 习 用 武 器 格 挡。
dlga_id:fighter_talk_train_combat|来 一 场 实 战 对 练 吧。
dlga_id:close_window_30|[离 开]
dlga_id:fighter_talk_train_attack_2|好。进 攻 共 有 四 个 基 本 方 向：从 上 方 劈 砍、向 右 挥 击、向 左 挥 击，以 及 正 面 突 刺。接 下 来 我 会 喊 出 进 攻 方 向，你 必 须 尽 快 使 出 正 确 的 攻 击 动 作。^^（按 下 鼠 标 左 键 时 移 动 鼠 标，即 可 指 定 攻 击 方 向。例 如，要 使 出 上 劈 攻 击，就 在 按 下 鼠 标 左 键 的 瞬 间 向 上 移 动 鼠 标。屏 幕 上 的 图 标 会 提 示 你 做 出 正 确 动 作。）
dlga_id:close_window_31|那 就 开 始 吧，我 准 备 好 了。{reg33?:}
dlga_id:fighter_pretalk|其 实，我 想 练 点 别 的。
dlga_id:fighter_talk_train_parry_2|盾 牌 可 以 挡 住 多 个 方 向 的 攻 击，而 用 武 器 格 挡 时，只 能 防 住 来 自 一 个 方 向 的 攻 击。例 如，向 上 格 挡 可 以 架 开 上 劈，却 仍 会 被 侧 击 或 突 刺 命 中。^^（按 住 鼠 标 右 键 即 可 格 挡。）
dlga_id:fighter_talk_train_parry_3|接 下 来，我 会 从 不 同 方 向 向 你 出 招，并 在 每 次 攻 击 前 等 你 摆 出 正 确 的 格 挡 姿 势。尽 量 以 最 快 速 度 作 出 反 应。^^（默 认 的“自 动 格 挡 方 向”会 让 这 项 练 习 十 分 简 单。若 在“选 项”菜 单 中 将 防 御 方 向 控 制 改 为“鼠 标 移 动”或“键 盘”，你 就 必 须 手 动 选 择 格 挡 方 向。这 样 更 具 挑 战，也 会 让 战 斗 更 有 趣。若 你 采 用 手 动 格 挡，这 项 练 习 会 很 有 帮 助。）
dlga_id:close_window_33|那 就 开 始 吧，我 准 备 好 了。{reg33?:}
dlga_id:fighter_pretalk_2|其 实，我 想 练 点 别 的。
dlga_id:fighter_talk_train_combat_2|对 练 是 为 真 正 战 斗 作 准 备 的 绝 佳 方 式。现 在，我 们 会 使 用 不 会 致 命 的 武 器 交 手，直 到 一 方 倒 地 为 止。你 难 免 会 挨 上 几 下，但 总 好 过 在 真 正 的 战 场 上 被 人 砍 倒。
dlga_id:close_window_36|那 就 开 始 吧，我 准 备 好 了。{reg33?:}
dlga_id:fighter_pretalk_3|其 实，我 想 练 点 别 的。
dlga_id:fighter_parry_try_again|很 好，你 已 经 成 功 挡 住 了 我 的 攻 击。你 可 以 反 复 练 习，争 取 每 次 都 比 上 一 次 更 快，直 到 对 自 己 的 防 守 有 十 足 把 握。还 要 再 来 一 次 吗？
dlga_id:fighter_parry_try_again.1|这 次 不 太 顺 利，对 吧？（记 住，必 须 按 住 鼠 标 右 键，格 挡 才 会 持 续 生 效。）还 要 再 试 一 次 吗？
dlga_id:fighter_talk_leave_parry|不 了，今 天 就 练 到 这 里。
dlga_id:fighter_parry_warn|嘿！我 们 练 的 是 格 挡，伙 计！你 应 该 挡 住 我 的 攻 击，而 不 是 还 手。{reg33?:}{reg33?:}
dlga_id:fighter_talk_leave_parry_2|抱 歉，我 得 结 束 这 项 练 习 了。
dlga_id:close_window_38|好 吧，如 你 所 愿。
dlga_id:fighter_combat_try_again|这 次 不 太 顺 利，对 吧？别 灰 心，下 次 别 再 犯 同 样 的 错 误。还 要 再 来 一 场 吗？
dlga_id:fighter_talk_leave_combat|不 了，对 我 来 说 已 经 够 了。
dlga_id:close_window_39|好 吧。若 你 改 变 主 意，再 来 找 我。
dlga_id:fighter_combat_try_again.1|嘿，这 场 对 练 打 得 不 错。你 击 败 了 我，不 过 下 次 我 可 会 更 加 小 心。还 要 再 来 一 场 吗？
dlga_id:fighter_talk.2|很 好。你 已 经 学 会 从 任 意 方 向 发 动 攻 击 了。愿 意 的 话，我 们 可 以 再 练 一 次，也 可 以 换 一 项 练 习。
dlga_id:archer_challenge_2|不 错，着 实 不 错！看 来 你 已 经 掌 握 了 箭 术 的 基 础。现 在 试 试 弩 吧。拿 起 那 边 的 弩 和 弩 矢，射 中 那 三 个 靶 子。弩 比 弓 更 容 易 掌 握，但 每 射 一 发 都 必 须 重 新 装 填。
dlga_id:archer_challenge_2.1|很 好，看 来 弩 也 难 不 住 你。接 下 来 学 习 投 掷 武 器。拿 起 那 边 的 标 枪，设 法 命 中 那 三 个 靶 子。
dlga_id:ranged_end|很 好。至 此，你 已 经 掌 握 了 三 类 远 程 武 器 的 基 础。余 下 的 全 靠 练 习。日 复 一 日 地 磨 炼，终 有 一 天，你 会 跻 身 新 世 界 最 出 色 的 神 射 手 之 列。
dlga_id:close_window_41|现 在，若 你 还 没 有 拜 访 近 战 教 官 或 骑 术 教 官，就 去 和 他 们 谈 谈 吧。他 们 也 能 教 你 重 要 的 本 领。
dlga_id:archer_talk|日 安，年 轻 人。我 终 日 在 此 向 愿 意 学 习 的 人 传 授 远 程 武 器 的 用 法。若 需 要 指 点，尽 管 来 找 我；我 会 教 你 使 用 弓、弩 和 标 枪。{reg33?:}
dlga_id:archer_challenge|好，请 教 我 使 用 远 程 武 器。
dlga_id:close_window_42|不 了，暂 时 不 用。
dlga_id:archer_challenge_2_2|好。你 的 第 一 项 训 练 是 弓 术。弓 是 一 种 难 以 精 通 的 武 器，但 只 要 技 艺 足 够 纯 熟，便 能 以 惊 人 的 速 度 和 力 量 连 续 放 箭。去 拿 起 那 边 的 弓 箭，射 击 那 些 靶 子。
dlga_id:close_window_43|好，我 准 备 好 了。
dlga_id:close_window.1_7|稍 等，我 想 先 做 点 别 的 事。
dlga_id:horseman_melee_challenge_2|希 望 刚 才 的 骑 行 让 你 尽 兴。现 在 来 点 更 难 的。拿 起 那 边 的 骑 枪，沿 跑 道 策 马 前 进，并 至 少 命 中 每 个 目 标 一 次。
dlga_id:horseman_melee_challenge_2.1|很 好！你 已 经 能 在 马 背 上 命 中 所 有 目 标 了，这 对 新 手 而 言 绝 非 易 事。下 一 项 挑 战 是 骑 射。拿 起 弓 箭，射 击 道 路 旁 的 靶 子；每 个 靶 上 都 必 须 留 下 一 支 箭，才 算 成 功。
dlga_id:horsemanship_end|很 好，你 已 经 能 在 马 背 上 射 中 所 有 目 标。坚 持 每 天 骑 乘 和 练 习，终 有 一 日，你 会 成 为 技 艺 精 湛 的 骑 手。{reg33?:}
dlga_id:close_window_44|现 在，若 你 还 没 有 拜 访 近 战 教 官 或 箭 术 教 官，就 去 和 他 们 谈 谈 吧。你 必 须 尽 可 能 多 学 本 领，才 能 在 不 得 不 自 卫 时 做 好 准 备。
dlga_id:horseman_talk|日 安！我 本 想 到 这 里 练 练 骑 术，可 这 把 老 骨 头 疼 得 厉 害，只 好 歇 上 一 天。若 你 想 练 习 骑 术，可 以 骑 我 的 马；让 她 活 动 活 动 也 有 好 处。
dlga_id:horseman_challenge|好，我 想 练 习 骑 术。
dlga_id:close_window_45|嗯……或 许 晚 些 时 候。
dlga_id:horseman_melee_challenge_2_2|很 好。现 在 我 会 安 排 几 项 练 习，教 你 骑 乘 和 使 用 马 上 武 器。第 一 项 很 简 单：骑 着 马 绕 跑 道 走 一 圈，快 慢 随 你。等 你 对 自 己 的 骑 术 有 了 信 心，再 回 来 接 受 更 艰 难 的 训 练。
dlga_id:close_window_46|好，我 准 备 好 了。
dlga_id:close_window.1_8|稍 等，我 得 先 做 点 别 的 事。
dlga_id:close_window_47|嘿，我 正 在 练 习！若 想 请 教 远 程 武 器，就 去 找 箭 术 教 官。
dlga_id:lord_prison_break_confirm_3|计 划 有 变 吗？
dlga_id:lord_prison_break|发 生 什 么 事 了？
dlga_id:drunk_response|你 瞅 什 么？
dlga_id:drunk_response.1|你 是 在 瞅 我 吗？
dlga_id:close_window_48|真 是 浪 费……
dlga_id:close_window.1_9|死 他 总 好 过 死 我。
dlga_id:drunk_fight_start|说 不 好……显 然 是 某 种 畜 生。
dlga_id:drunk_fight_start.1|失 礼 了，请 接 受 我 的 歉 意。
dlga_id:close_window_49|我 会 把 你 脸 上 那 副 傻 笑 打 掉！
dlga_id:drunk_player_high_renown|你 知 道 我 是 谁 吗？
dlga_id:drunk_fight_start_2|我 在 乎 吗？
dlga_id:drunk_player_high_renown_2|呃……其 实……对，对，我 知 道 你 是 谁，{reg33?女 士:陛 下}。请 宽 恕 我，大 人—— 一 定 是 酒 喝 多 了。我 这 就 走……
dlga_id:drunk_fight_start.1_2|怎 么？你 既 然 想 打，我 就 奉 陪 到 底！
dlga_id:close_window_50|果 然 如 此。现 在，从 我 眼 前 滚 开。
dlga_id:fistfight_response|你 看 起 来 既 挨 得 住 重 拳，也 打 得 出 重 拳。我 有 一 桩 买 卖 想 和 你 谈 谈。
dlga_id:fistfight_response_2|什 么 买 卖？
dlga_id:fistfight_response_2a|很 好，很 高 兴 你 有 兴 趣。计 划 是 这 样 的……有 些 复 杂，听 仔 细 了。
dlga_id:fistfight_response_3|你 和 那 边 的 家 伙 就 在 这 里 打 一 场。不 能 用 武 器，也 不 能 穿 甲。我 坐 在 旁 边 收 注，最 后 与 胜 者 平 分 利 润；若 赔 了 钱，由 我 承 担。你 什 么 也 不 会 损 失—— 当 然，除 了 一 点 血。
dlga_id:fistfight_response_4|不 过，这 可 不 能 像 竞 技 场 里 的 正 式 比 赛 那 样，让 所 有 人 事 先 下 注。酒 客 们 会 被 动 静 吸 引 过 来，再 往 你 们 中 看 似 占 上 风 的 那 一 个 身 上 押 一 两 枚 金 币。我 会 给 出 一 赔 一 的 赔 率—— 喝 到 第 三 大 杯 麦 酒 的 人，可 算 不 明 白 更 复 杂 的 东 西。
dlga_id:fistfight_response_4a|所 以，诀 窍 就 是 尽 量 把 局 面 拖 成 你 看 似 将 败 的 样 子，让 所 有 人 都 把 钱 押 在 对 手 身 上；随 后 迅 速 反 击，在 赌 注 来 得 及 转 向 前 赢 下 比 赛。最 能 赚 钱 的 做 法，是 先 挨 打 挨 到 几 乎 倒 地，再 突 然 站 稳，将 对 手 放 倒。但 无 论 如 何，你 最 后 必 须 获 胜，我 俩 才 能 赚 到 钱。
dlga_id:fistfight_response_5|另 外，比 赛 也 不 能 拖 得 太 久，否 则 观 众 会 怀 疑 我 们 做 局。所 以 你 们 必 须 不 时 真 挨 上 一 记 重 拳。我 不 在 乎 流 的 是 谁 的 血，但 总 得 见 血。
dlga_id:fistfight_response_5a|还 有 一 件 事—— 你 的 对 手 是 我 的 伙 计，可 他 对 复 杂 安 排 一 窍 不 通，只 会 直 冲 上 来 和 你 硬 拼。至 于 如 何 把 戏 演 得 漂 亮，就 全 看 你 的 本 事 了。
dlga_id:fistfight_response_confirm|那 么，你 意 下 如 何？
dlga_id:close_window.1_10|我 还 有 更 要 紧 的 事。
dlga_id:ramun_introduce_1|日 安，{reg33?姑 娘:年 轻 人}。
dlga_id:ramun_introduce_2|恕 我 冒 昧。你 看 起 来 像 个 商 人，可 我 没 见 到 你 的 货 物。
