qstr_1164|Dummy first line
qstr_{s1}_has_cast_icesha|{s1}施 放 了 冰 片 暴 风 雪。受 影 响 的 敌 军 被 减 速。
qstr_{s1}_has_cast_lightn|{s1}施 放 了 闪 电 风 暴。受 影 响 的 敌 军 受 到 轻 到 中 等 伤 害。
qstr_{s1}_has_cast_comet_|{s1}施 放 了 卡 莎 朵 拉 彗 星。受 影 响 的 敌 军 受 到 高 级 伤 害。
qstr_{s3}_has_cast_Uranno|{s3} 施 放 了 尤 瑞 诺 闪 电 箭。敌 人 受 到 严 重 伤 害。
qstr_{s3}_has_cast_Lightn|{s3} 施 放 了 闪 电 箭。敌 人 受 到 严 重 伤 害。
qstr_{s1}_has_cast_Melkot|{s1}施 放 了 梅 尔 克 斯 的 迷 魂 毒 瘴。敌 军 的 多 个 属 性 被 诅 咒 而 下 降。
qstr_{s1}_has_cast_pit_of|{s1}施 放 了 幽 暗 深 渊。如 果 敏 捷 检 定 失 败，受 影 响 的 敌 人 部 队 死 亡。
qstr_{s3}_has_cast_caress|{s3} 施 放 了 拉 尼 菲 的 爱 抚。如 果 强 击 检 定 失 败，敌 人 会 受 到 多 重 打 击。
qstr_{playername}_has_cast_t|{playername} 施 放 了 贝 加 纳 的 命 运。敌 人 若 铁 骨 检 定 失 败，将 受 到 多 次 伤 害。
qstr_{s1}_has_cast_purple|{s1}施 放 了 泽 雷 尔 斯 的 紫 晶 邪 阳。如 果 跑 动 检 定 失 败，受 影 响 的 敌 军 部 队 将 死 亡。
qstr_{s1}_has_cast_curse_|{s1}施 放 了 安 拉 海 尔 的 诅 咒。受 影 响 的{s2}部 队 移 速 和 远 程 精 确 性 降 低。
qstr_{s1}_has_cast_Wyssan|{s1}施 放 了 维 杉 的 狂 野 形 态。受 影 响 的 友 军 部 队 增 加 了 伤 害 和 伤 害 抗 性。
qstr_{s1}_has_cast_the_Wi|{s1} 释 放 了 猎 鹰 之 翼，获 得 了 双 倍 移 动 速 度
qstr_{s1}_has_cast_the_Fl|{s1} 施 放 了 疾 步 术，速 度 得 到 提 高。
qstr_{s1}_has_cast_Panns_|{s1}施 放 了 潘 恩 的 坚 韧 毛 皮。受 影 响 的 友 军 获 得 速 度 提 升 和 守 护 豁 免。
qstr_{s1}_has_cast_savage|{s1}施 放 了 赫 罗 斯 狂 兽。受 影 响 的 友 军 部 队 增 加 了 伤 害 和 速 度。
qstr_{s1}_has_cast_cascad|{s1}施 放 了 流 火 披 风。附 近 的 友 军 部 队 增 加 了 伤 害 抗 性。
qstr_{s1}_has_cast_flamin|{s1}施 放 了 鲁 因 火 焰 剑。附 近 的 友 军 部 队 增 加 了 近 战 伤 害。
qstr_{s1}_has_cast_Swords|{s1}施 放 了 末 日 之 剑。附 近 的 友 军 部 队 增 加 了 近 战 伤 害。
qstr_{s1}_has_cast_Flame_|{s1}施 放 了 火 焰 风 暴。受 影 响 的 敌 军 受 到 重 创。
qstr_{s1}_has_cast_Confla|{s1}施 放 了 末 日 之 火。受 影 响 的 敌 军 部 队 受 到 轻 微 到 中 等 伤 害。
qstr_{s1}_has_cast_walk_b|{s1}施 放 了 界 间 行 走。附 近 的 友 军 部 队 速 度 和 闪 避 提 高。
qstr_{s1}_has_cast_hand_o|{s1}施 放 了 荣 耀 之 手。附 近 的 友 军 多 个 属 性 提 高。
qstr_{s1}_has_cast_fiery_|{s1}施 放 了 万 焰 燃 集。受 影 响 的 敌 军 受 到 伤 害。
qstr_{s1}_has_cast_power_|{s1}施 放 了 黑 暗 之 力。附 近 友 军 部 队 的 伤 害 有 所 增 加。
qstr_{s1}_has_cast_word_o|{s1}施 放 了 痛 苦 之 言。受 影 响 的 敌 军 部 队 近 战 伤 害、远 程 精 度 和 武 器 速 度 降 低。
qstr_{s1}_has_cast_bladew|{s1}施 放 了 利 刃 狂 风。如 果 敏 捷 检 定 失 败，受 影 响 的 敌 军 将 受 到 严 重 伤 害。
qstr_{s1}_has_cast_soulst|{s1}施 放 了 窃 魂 术。半 径 内 的 敌 军 受 到 伤 害。任 何 死 亡 都 将 治 疗 施 法 者。
qstr_{s1}_has_cast_Arnzip|{s1}施 放 了 阿 恩 齐 帕 尔 的 黑 色 恐 怖。如 果 跑 动 检 定 失 败，受 影 响 的 敌 军 部 队 将 死 亡。
qstr_{s1}_has_cast_Window|{s1}施 放 了 虚 空 之 窗。如 果 跑 动 检 定 失 败，受 影 响 的 敌 军 部 队 死 亡。
qstr_{s1}_has_cast_Void_o|{s1}施 放 了 死 亡 虚 空。受 影 响 的 敌 军 部 队 将 受 到 伤 害。
qstr_{s1}_has_cast_Curse_|{s1}施 放 了 岁 月 诅 咒。受 影 响 的 敌 军 开 始 老 化 并 逐 渐 受 到 伤 害。
qstr_{s1}_has_cast_pink_f|{s1}施 放 了 奸 奇 粉 焰。受 影 响 的 敌 军 受 到 伤 害。
qstr_{s1}_has_cast_Tzeent|{s1}施 放 了 奸 奇 火 焰 风 暴。受 影 响 的 敌 军 受 到 伤 害。
qstr_{s1}_has_cast_infern|{s1}施 放 了 地 狱 之 门。受 影 响 的 敌 军 受 到 巨 大 的 伤 害。
qstr_{s1}_has_cast_hyster|{s1}施 放 了 癫 狂 狂 热。受 影 响 的 友 军 部 队 移 动 和 战 斗 能 力 提 高，并 获 得 牢 不 可 破。
qstr_{s1}_has_cast_bondag|{s1}施 放 了 色 孽 的 束 缚。受 影 响 的 敌 军 速 度 和 近 战 伤 害 输 出 减 半。
qstr_{s1}_has_cast_acquie|{s1}施 放 了 顺 从 术。受 影 响 的 敌 军 部 队 移 动 和 战 斗 能 力 减 弱。
qstr_{s1}_has_cast_slicin|{s1}施 放 了 切 割 裂 片。如 果 统 御 检 定 失 败，受 影 响 的 敌 军 受 到 伤 害，将 面 临 额 外 打 击。
qstr_{s1}_has_cast_Cacoph|{s1}施 放 了 刺 耳 合 唱。受 影 响 的 敌 军 部 队 有 50%几 率 受 到 严 重 伤 害。
qstr_Nurgle_grants_you_ad|纳 垢 赐 予 你 高 级 忽 略 痛 苦。
qstr_Nurgle_grants_you_ig|纳 垢 赐 予 你 忽 略 痛 苦。
qstr_Nurgle_grants_you_ma|纳 垢 赐 予 你 大 师 级 忽 略 痛 苦。
qstr_{s1}_has_cast_miasma|{s1}施 放 了 瘟 疫 瘴 气。受 影 响 的 敌 军 部 队 移 动 和 战 斗 能 力 减 弱。
qstr_You_have_gained_adva|你 已 经 获 得 了 高 级 无 视 痛 苦。
qstr_You_have_gained_igno|你 获 得 了 无 视 痛 苦 效 果。
qstr_You_gain_advanced_ig|你 获 得 了 高 级 无 视 痛 苦 效 果。
qstr_{s1}_has_cast_blades|{s1}施 放 了 腐 化 之 刃。受 影 响 的 友 军 获 得 剧 毒 攻 击
qstr_{s1}_has_cast_curse_o|{s1}施 放 了 麻 风 病 的 诅 咒。受 影 响 的 友 军 部 队 获 得 忽 视 痛 苦
qstr_{s1}_has_cast_rancid|{s1}施 放 了 腐 臭 侵 袭。受 影 响 的 敌 军 若 铁 骨 检 定 失 败，将 受 到 伤 害 和 额 外 一 次 攻 击。
qstr_{s1}_has_cast_plague|{s1}施 放 了 瘟 疫 之 风。受 影 响 的 敌 军 若 体 质 检 定 失 败，将 受 到 毒 素 伤 害。
qstr_{s1}_has_cast_foot_o|{s1}施 放 了 搞 哥 大 脚。受 影 响 的{s2}部 队 受 到 严 重 伤 害。
qstr_{s1}_has_cast_ere_we|{s1}施 放 了 跟 我 上！。受 影 响 的 友 军 部 队 增 加 了 战 斗 能 力，获 得 了 无 视 痛 苦。
qstr_{s1}_has_cast_hand_of|{s1}施 放 了 搞 哥 大 手。受 影 响 的 友 军 提 高 了 速 度。
qstr_{s1}_has_cast_curse_of|{s1}施 放 了 恶 月 诅 咒。受 影 响 的 敌 军 受 到 伤 害。
qstr_{s1}_has_cast_itchy_|{s1}施 放 了 瘙 痒 侵 袭。受 影 响 的 敌 军 部 队 移 速 减 慢。
qstr_{s1}_has_cast_gift_o|{s1}施 放 了 蜘 蛛 之 神 的 赠 礼。受 影 响 的 友 军 获 得 剧 毒 攻 击
qstr_{s1}_has_cast_sneaky|{s1}施 放 了 鬼 祟 痛 击。受 影 响 的 友 军 部 队 近 战 武 器 增 加 刺 穿 伤 害。
qstr_{s1}_has_cast_skitte|{s1}施 放 了 瞬 间 转 移。受 影 响 的 友 军 提 高 了 速 度。
qstr_{s1}_has_cast_curse_of_|{s1}施 放 了 大 角 鼠 的 诅 咒。如 果 铁 骨 检 定 失 败，受 影 响 的 敌 军 将 被 变 成 斯 卡 文 友 军。
qstr_{s1}_has_cast_death_|{s1}施 放 了 死 亡 狂 暴。受 影 响 的 友 军 部 队 增 加 了 移 动 和 战 斗 能 力。
qstr_{s1}_has_cast_scorch|{s1}施 放 了 焦 炎 术。受 影 响 的 敌 军 部 队 受 到 伤 害
qstr_{s1}_has_cast_cracks|{s1}施 放 了 地 裂 术。如 果 检 定 失 败，受 影 响 的{s2}部 队 将 会 死 亡
qstr_{s1}_has_cast_blessi|{s1}施 放 了 污 秽 赐 福。受 影 响 的 友 军 获 得 剧 毒 攻 击
qstr_{s1}_has_cast_corrup|{s1}施 放 了 腐 败。如 果 检 定 失 败，受 影 响 的{s2}部 队 将 会 受 到 伤 害
qstr_{s1}_has_cast_plague.|{s1}施 放 了 瘟 疫。受 影 响 的 敌 军 若 体 质 检 定 失 败，将 受 到 伤 害；其 死 亡 时 可 能 再 次 引 发 瘟 疫。
qstr_{s1}_has_cast_Usiria|{s1}施 放 了 乌 西 里 安 的 复 仇 咒。受 影 响 的 敌 军 移 速 减 慢
qstr_{s1}_has_cast_Sakhme|{s1}施 放 了 塞 霍 姆 特 的 骸 骨 风 暴 咒。受 影 响 的 敌 军 受 到 中 度 到 重 度 的 伤 害。
qstr_{s1}_has_cast_Burnin|{s1}施 放 了 烈 焰 风 暴。受 影 响 的 敌 方 部 队 受 到 中 等 到 严 重 伤 害。
qstr_{s1}_has_cast_freezi|{s1}施 放 了 冰 封 术。受 影 响 的 敌 军 部 队 移 动 受 制 且 受 到 轻 微 伤 害。
qstr_Your_attempt_to_cast|你 尝 试 施 放 冻 结 失 败。
qstr_{s1}s_attempt_to_cas|{s1}尝 试 施 放 冻 结 失 败。
qstr_{s1}_has_cast_freeze|{s1}施 放 了 冻 结。受 影 响 的 敌 方 移 动 受 损 并 受 到 轻 微 伤 害。
qstr_{s1}_has_cast_quicks|{s1}施 放 了 流 沙 池。敏 捷 检 定 失 败 的 敌 军 将 死 亡。
qstr_{s1}_has_cast_curse_of_t|{s1}施 放 了 灯 神 的 诅 咒。受 影 响 的 敌 军 有 50%的 几 率 受 到 额 外 伤 害。
qstr_Your_attempt_to_cast_|你 尝 试 施 放 神 圣 之 怒 失 败。
qstr_{s1}s_attempt_to_cast|{s1}尝 试 施 放 神 圣 之 怒 失 败。
qstr_{s1}_has_cast_holy_w|{s1}施 放 了 神 圣 之 怒。受 影 响 的 友 军 部 队 增 加 了 伤 害。
qstr_Your_attempt_to_cast_S|你 尝 试 施 放 信 仰 之 盾 失 败。
qstr_{s1}s_attempt_to_cast_|{s1}尝 试 施 放 信 仰 之 盾 失 败。
qstr_{s1}_has_cast_shield|{s1}施 放 了 信 仰 之 盾。友 军 获 得 魔 法 防 护。
qstr_Your_attempt_to_cast_D|你 尝 试 施 放 神 圣 疗 愈 失 败。
qstr_{s1}s_attempt_to_cast_D|{s1}尝 试 施 放 神 圣 疗 愈 失 败。
qstr_{s1}_has_cast_divine|{s1}施 放 了 神 圣 疗 愈。受 影 响 的 友 军 已 经 恢 复 了 健 康。
qstr_{s1}_has_cast_bestia|{s1} 施 放 了 兽 性 涌 动。受 影 响 的 友 军 提 高 了 速 度。
qstr_prop_spawned|prop spawned
qstr_Ship_{reg0}__was_des|船 ({reg0})被 摧 毁 了。
qstr_walker_despawned|walker despawned
qstr_To_dismount_press_ju|下 马 请 按 跳 跃 键 /空 格 键。
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_WSE1_version_{reg42}|WSE1版 本：{reg42}。请 使 用 WSE2（战 团 脚 本 增 强 器 2）启 动 游 戏。
qstr_WSE2_version_{reg42}|当 前 WSE2版 本：{reg42}
qstr_Using_Native_Warband|当 前 正 以 原 生《骑 马 与 砍 杀：战 团》启 动！请 改 用 WSE2（战 团 脚 本 增 强 器 2）启 动 游 戏。
qstr_Warsword_Conquest___|战 剑 征 服：恐 虐 试 炼 版 — Discord迷 你 补 丁 V1.13^洗 衣 鸡 汉 化
qstr_Next_Page|下 一 页 
qstr_Kingdom_of_{s7}|{s7} 王 国 
qstr_Sovereign_colour_of_|{s0} 的 主 权 颜 色：
qstr_Red:|红：
qstr_Green:|绿：
qstr_Blue:|蓝：
qstr_{reg21}/26|{reg21}/26
qstr_Previous_page|上 一 页
qstr_Next_page|下 一 页
qstr_Modify_{s27}_s_banne|修 改 {s27} 的 旗 帜（最 近 交 谈 的 领 主）^^按 Esc键 可 保 持 原 样 并 退 出。
qstr_Candidate_#1:_{s1}|候 选 人 #1：{s1}
qstr_Candidate_#2:_{s1}|候 选 人 #2：{s1}
qstr_{s3}_of_{s4}_wishes_|{s4} 的 {s3} 希 望 选 拔 新 元 帅，并 邀 请 他 的 封 臣 进 行 商 议。{s1} 和 {s2} 是 可 能 的 候 选 人。
qstr_Continue...|继 续……
qstr_Who_do_you_wish_to_s|你 愿 支 持 谁？
qstr_{s1}_gives_his_suppo|{s1} 表 示 支 持 {s2}。
qstr_Number_of_Supporters|支 持 者 数 量：{reg0}
qstr_{s2}_has_heard_his_v|{s2} 已 听 取 封 臣 们 的 意 见，并 任 命 {s3} 的 {s1} 担 任 元 帅。
qstr_Action|行 动 
qstr_Mount|上 马 
qstr_Attack_Type|攻 击 方 式
qstr_Stand_Ground|原 地 坚 守
qstr_Charge|冲 锋 
qstr_Follow_Me|随 我 来 
qstr_Hold_This_Position|坚 守 此 地 
qstr_Spread_Out|散 开 
qstr_Stand_Closer|聚 拢 
qstr_Fall_Back|退 后 
qstr_Advance|前 进 
qstr_Dismount|下 马 
qstr_Fire_At_Will|任 意 射 击 
qstr_Hold_Your_Fire|停 止 射 击 
qstr_Use_Blunt_Weapons|使 用 钝 击 武 器 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Ready|准 备 
qstr_Wounded|受 伤 
qstr_Dead|死 亡 
qstr_Mana:_{reg30}/{reg40|法 力：{reg30}/{reg40}
qstr_{s2}|{s2}
qstr_Wind:_{reg13}|魔 法 之 风：{reg13}
qstr__{reg6}s_|({reg6}秒 )
qstr__permanent_|（永 久 的）
qstr_{s3}_{s6}|{s3}{s6}
qstr_{s4}|{s4}
qstr_{reg12}|{reg12}
qstr_H|H
qstr_<_J|<J
qstr_K_>|K>
qstr_Number_of_men_knocke|被 击 倒 人 数：{reg1}
qstr_Number_of_men_left:_|剩 余 人 数：{reg1}
qstr_Opponents_Beaten:_{r|击 倒 对 手 数 量：{reg1}
qstr_Opponents_Remaining:|剩 余 对 手 数 量：{reg1}
qstr_Remain_in_retirement|决 定 退 休。
qstr_Go_back_to_the_adven|继 续 冒 险。
qstr_You_have_retired_at_|你 在 冒 险 {reg5}天 后，于 {reg4}级 退 休。
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数：{reg0}
qstr_Friendly_Settlements|友 军 领 地 数：{reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数：{reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主：{reg0}
qstr_Enemy_Lords:_{reg0}|敌 军 领 主：{reg0}
qstr_Victories:_{reg0}|胜 利：{reg0}
qstr_Defeats:_{reg0}|失 败：{reg0}
qstr_Quests_Completed:_{r|任 务 完 成：{reg0}
qstr_Companions_Found:_{r|已 找 到 的 同 伴：{reg0}
qstr_Companions_Lost/Depa|失 散 /离 队 的 同 伴：{reg0}
qstr_Wealth:_{reg0}_gold|财 富：{reg0}金 币
qstr_Inventory:_{reg0}_go|物 品 栏 价 值：{reg0}金 币
qstr_Renown:_{reg0}|声 望：{reg0}
qstr_Experience:_{reg0}|经 验：{reg0}
qstr_Days_Passed:_{reg0}|天 数：{reg0}
qstr_Difficulty:_{reg0}%|难 度：{reg0}%
qstr_TOTAL_SCORE:_{reg0}|总 分 数：{reg0}
qstr_unknown_yet|未 知 
qstr_tomorrow|明 天 
qstr_Next_Payday:_{s22}|下 一 个 发 薪 日：{s22}
qstr_{s0}__{s50}_|{s0}({s50})
qstr_None|无 
qstr_{s55}__{reg0}%_|{s55}({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|属 员：
qstr_Weekly_budget_has_no|每 周 预 算 无 变 化。
qstr_You_paid_{reg0}_cash|你 支 付 {reg0}现 金 以 偿 还 你 的 债 务。
qstr_Earlier_cash:|之 前 现 金：
qstr_New_cash:|目 前 现 金：
qstr_Others|其 他 
qstr_Outlaws|不 法 之 徒 
qstr_Mercenary|雇 佣 兵 
qstr_Close|关 闭 
qstr_Click_the_center_but|点 击 中 央 按 钮 可 切 换 阵 营。^点 击 人 物 头 像 可 查 看 详 情。
qstr_Level:_{reg3}^Health|等 级：{reg3}^生 命：{reg4}
qstr_Attributes|属 性 
qstr_STR^AGI^INT^CHA|力 量 ^敏 捷 ^智 力 ^魅 力
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|技 能
qstr_Ironflesh^Power_Stri|铁 骨 ^强 击 ^强 掷 ^强 弓 ^盾 防 ^跑 动 ^骑 术 ^骑 射 
qstr_Proficiencies|熟 练 度 
qstr_1H_Weapons^2H_Weapon|单 手 武 器^双 手 武 器^长 柄 武 器^弓 箭^弩^投 掷^火 器
qstr_Equipments|装 备 
qstr_Melee_Weapons|近 战 武 器
qstr_Ranged_Weapons|远 程 武 器 
qstr_Shields|盾 牌
qstr_Head_Armour_1|头 部 护 甲 1
qstr_Head_Armour_2|头 部 护 甲 2
qstr_Body_Armour_1|身 体 护 甲 1
qstr_Body_Armour_2|身 体 护 甲 2
qstr_Body_Armour_3|身 体 护 甲 3
qstr_Body_Armour_4|身 体 护 甲 4
qstr_Foot_Armour|脚 部 护 甲
qstr_Hand_Armour|手 部 护 甲
qstr_Done|完 成 
qstr__Faction_Relations_R|派 系 关 系 报 告 
qstr__Return_to_menu_|返 回 菜 单 
qstr_To_page_1|查 看 第 一 页
qstr_Your_kingdom|你 的 王 国 
qstr_Player^Relation|玩 家 ^关 系 
qstr_War|战 争 
qstr_Casus_Belli|宣 战 理 由
qstr_Peace|和 平 
qstr_Truce|休 战 
qstr_Alliance|同 盟 
qstr_Defense|防 御 
qstr_Trade|贸 易 
qstr_{reg59?{reg59}_days:|{reg59?{reg59}天 :}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_{reg11}|{reg11}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61}{reg58?({reg58}U):} 领 地 
qstr_{reg62}_Caravans|{reg62}商 队 
qstr_{reg60}_{reg59?_{reg|{reg60}{reg59?({reg59}P):} 领 主 
qstr_To_page_2|查 看 第 二 页
qstr_{reg1}|{reg1}
qstr_{reg6}^money_in_the_|{reg6}^{reg5?国 库 :箱 子 } 里 的 钱 
qstr_{reg4}^money_in_your|{reg4}^库 存 中 的 钱 
qstr_Withdraw|提 款 
qstr_Deposit|存 款 
qstr_Sell_items_automatic|离 开 时 自 动 出 售 物 品：
qstr_Price_limit_for_auto|自 动 出 售 价 格 上 限：
qstr_Item_types_for_auto_|自 动 出 售 的 物 品 类 型：
qstr_Select_all|全 选 
qstr_Select_invert|反 选 
qstr_{s1}|{s1}
qstr_Buy_food_automatical|离 开 时 自 动 购 买 食 物：
qstr_*|*
qstr_Upgrade|升 级
qstr_Upgrade_All|全 部 升 级
qstr_Name:_{s1}^Level:_{r|名 称：{s1}^等 级：{reg2}^生 命 值：{reg1}/{reg0}
qstr_Weapon_upgrade_setti|武 器 升 级 设 置：
qstr_Cut|切 割
qstr_Pierce|穿 刺
qstr_Blunt|钝 击
qstr_Damage__preference_|伤 害（偏 好）
qstr_Sub_type__restrictio|子 类 型（限 制）
qstr_Apply_to_everyone|应 用 于 所 有 人
qstr_Upgrade_armor|升 级 盔 甲 
qstr_Upgrade_horse|升 级 马 匹 
qstr_Price_limit_for_auto_|自 动 拾 取 的 价 格 限 制：
qstr_{s31}_stopped_using_|{s31} 停 止 使 用 {s10}{s20}。
qstr_Select_your_domestic|选 择 你 的 国 家 政 策 
qstr_Centralization:|集 权 制：
qstr_Aristocracy:|贵 族 制：
qstr_Serfdom:|农 奴 制：
qstr_Troop_quality:|部 队 素 质：
qstr_Mercantilism:|重 商 主 义：
qstr_High_centralization_|高 度 集 权 会 降 低 国 王 的 税 收 损 耗，却 提 高 封 臣 的 税 收 损 耗，并 影 响 君 臣 关 系。
qstr_High_aristocracy_wil|贵 族 地 位 的 提 高 将 改 善 国 王 和 他 的 封 臣 之 间 的 关 系，他 们 将 能 够 组 建 更 强 大 的 军 队，但 这 将 减 少 贸 易。
qstr_High_serfdom_reduces|高 度 农 奴 制 降 低 了 国 王 和 他 的 封 臣 的 税 收 效 率，封 臣 可 以 维 持 更 强 大 的 军 队，但 军 队 士 气 下 降。
qstr_High_troop_quality_i|高 素 质 的 部 队 增 加 了 部 队 的 战 斗 力，但 减 少 了 部 队 规 模。
qstr_High_mercantilistic_|高 度 重 商 主 义 政 策 使 出 口 最 大 化，进 口 最 小 化，并 加 强 政 府 对 工 业 的 管 制。
qstr_Cancel|取 消 
qstr_Dictate_the_peace_te|决 定 和 平 条 款 
qstr_Select_the_castle_an|选 择 城 堡 和 货 币 数 量，并 勾 选 复 选 框 以 激 活 需 求。如 果 选 中 这 两 个 框，则 合 并 需 求。
qstr_1000_gold|1000金 币
qstr__|
qstr_HTML_code:_{s0}|颜 色 代 码：{s0}
qstr_Default|默 认 值 
qstr_Randomize|随 机 
