menu_1164|Dummy first line
menu_id_5|参 考 资 料：使 用 笔 记 与 最 近 消 息 查 看 结 果。
mno_id_41|查 看 贸 易 路 线 
mno_id_42|显 示 前 5种 种 族 的 原 始 偏 见
mno_id_43|显 示 第 2组 5种 种 族 的 原 始 偏 见
mno_id_44|显 示 第 3组 5种 种 族 的 原 始 偏 见
mno_id_45|显 示 第 4组 6种 种 族 的 原 始 偏 见
mno_id_46|显 示 偏 见：玩 家 部 队 与 随 机 兵 种
mno_id_47|启 用 详 细 调 试 信 息（可 通 过 PBOD作 弊 模 式 开 关 恢 复 正 常）
mno_id_48|查 看 繁 荣 报 告 
mno_id_49|查 看 所 有 派 系 兵 种
mno_id_50|查 看 所 有 领 主 
mno_id_51|查 看 所 有 雇 佣 兵 与 杂 项 单 位
mno_id_52|查 看 所 有 物 品 
mno_id_54|返 回 
menu_id_6|{s16}^{s17}^{s15}
menu_id_7|贸 易 路 线 子 菜 单
mno_id_56|列 出 前 7个 城 市 的 贸 易 路 线
mno_id_57|列 出 第 2组 7个 城 市 的 贸 易 路 线
mno_id_58|列 出 第 3组 7个 城 市 的 贸 易 路 线
mno_id_59|列 出 第 4组 7个 城 市 的 贸 易 路 线
mno_id_60|列 出 第 5组 7个 城 市 的 贸 易 路 线
mno_id_61|列 出 第 6组 7个 城 市 的 贸 易 路 线
mno_id_62|列 出 第 7组 7个 城 市 的 贸 易 路 线
menu_id_8|请 选 择 角 色 的 种 族、物 种 和／或 性 别。
mno_id_64|人 类
mno_id_65|野 兽 人
mno_id_66|混 沌
mno_id_67|蜥 人
mno_id_68|绿 皮 兽 人 
mno_id_69|夜 地 精 
mno_id_70|混 沌 矮 人
mno_id_71|精 灵
mno_id_72|骷 髅
mno_id_73|矮 人
mno_id_74|斯 卡 文 鼠 人 
mno_id_75|半 身 人
mno_id_76|吸 血 鬼 
mno_id_77|灵 蜥
mno_id_78|食 人 魔
menu_id_9|你 是：
mno_id_80|男 性 人 类
mno_id_81|女 性 人 类
menu_id_10|请 选 择 一 种 骷 髅 出 身。你 将 成 为：
mno_id_82|一 位 古 墓 王。
mno_id_83|一 位 亡 灵 海 盗。
mno_id_84|一 位 希 尔 瓦 尼 亚 的 骷 髅。
menu_id_11|多 年 前，你 降 生 于 世，血 脉 可 追 溯 至……
mno_id_85|西 格 玛 帝 国。
mno_id_86|巴 托 尼 亚 王 国。
mno_id_87|阿 拉 比 苏 丹 国。
mno_id_88|基 斯 里 夫 沙 皇 国。
mno_id_89|尼 朋 帝 国。
mno_id_90|海 盗 兄 弟 会。
mno_id_91|信 奉 混 沌 的 诺 斯 卡 部 落。
menu_id_12|你 选 择 了 精 灵 诸 族 之 一。你 将 成 为：
mno_id_92|高 等 精 灵 之 子（阿 苏 尔）
mno_id_93|高 等 精 灵 之 女（阿 苏 尔）
mno_id_94|木 精 灵 之 子（阿 斯 莱）
mno_id_95|木 精 灵 之 女（阿 斯 莱）
mno_id_96|黑 暗 精 灵 之 子（杜 鲁 奇）
mno_id_97|黑 暗 精 灵 之 女（杜 鲁 奇）
menu_id_13|多 年 前，你 出 生 在 旧 世 界 的 一 片 广 袤 森 林 中。你 的 父 亲 是……
mno_id_98|一 名 咆 哮 萨 满。
mno_id_99|一 位 战 术 家。
mno_id_100|一 头 大 角 兽。
mno_id_101|一 名 狩 猎 大 师。
mno_id_102|一 名 战 车 骑 手。
mno_id_103|一 名 战 争 领 主。
mno_id_104|重 新 开 始
menu_id_14|多 年 前，你 出 生 在 宁 静 的 议 会 地 腹 地。你 的 父 亲 是……
mno_id_105|一 名 旅 店 老 板。
mno_id_106|一 名 昆 斯 贝 里 议 员。
mno_id_107|一 名 神 偷。
mno_id_108|一 位 游 侠。
mno_id_109|一 位 郡 长。
mno_id_110|一 位 地 牢 冒 险 家。
menu_id_15|帝 国 行 省 施 蒂 尔 兰 的 东 部 坐 落 着 希 尔 瓦 尼 亚：一 片 被 迷 雾 森 林 与 沼 泽 荒 原 笼 罩 的 诅 咒 之 地，遍 布 古 堡 与 墓 园 的 遗 迹。尽 管 这 里 寂 静 如 鬼 域，据 说 仍 有 人 类 居 住 在 小 村 落 中，多 为 在 高 塔 城 市 阴 影 下 生 活 的 农 民，并 受 不 可 名 状 的 存 在 统 治。又 一 个 人 正 穿 过 希 尔 瓦 尼 亚 边 境—— 那 是 你 的 父 亲，而 他 曾 是……
mno_id_112|一 位 宝 藏 猎 人。
mno_id_113|一 名 被 流 放 的 异 端。
mno_id_114|一 个 突 变 异 种。
mno_id_115|一 位 西 尔 凡 尼 亚 贵 族。
mno_id_116|一 位 吸 血 鬼 仆 从。
mno_id_117|一 位 斯 提 尔 领 商 人。
menu_id_16|艾 索 洛 伦 森 林 宛 如 一 只 翡 翠 之 眼，镶 嵌 在 巴 托 尼 亚 与 人 类 帝 国 之 间，是 精 灵 昔 日 殖 民 旧 世 界 所 留 下 的 最 后 遗 迹。巍 峨 古 木 间 魔 力 充 盈，精 魂 与 远 古 生 灵 同 你 的 族 人 并 肩 而 居，与 自 然 万 物 和 谐 共 生。你 的 先 祖 正 是 在 那 段 久 远 而 被 遗 忘 的 岁 月 里 从 奥 苏 安 来 到 此 地，而 他 们 当 时 的 身 份 是……
mno_id_119|一 位 铁 匠。
mno_id_120|一 名 寻 路 者。
mno_id_121|一 位 士 兵。
mno_id_122|一 名 传 承 守 护 者。
mno_id_123|一 名 使 节。
mno_id_124|一 位 小 贵 族。
menu_id_17|明 戈 尔·扎 尔·纳 格 隆 德—— 火 焰 之 塔—— 阴 森 地 俯 瞰 着 扎 尔 杜 克 平 原，熔 岩 如 鲜 血 般 从 塔 腹 流 淌。塔 巅 的 哈 苏 特 神 庙 里，献 给 黑 暗 之 父 的 残 酷 祭 祀 回 声 不 绝，高 阶 先 知 们 以 恶 毒 的 欢 愉 旁 观 这 一 切。随 后，万 籁 俱 寂。公 牛 之 神 哈 苏 特 开 口 了，一 项 神 圣 使 命 随 之 降 下。混 沌 矮 人 的 秘 社 开 始 筹 备 远 征，准 备 踏 上 陌 生 土 地；而 你 也 被 编 入 其 中，身 份 是……
mno_id_126|一 名 恶 魔 缚 者。
mno_id_127|一 位 拷 问 者。
mno_id_128|一 位 奴 隶 主。
mno_id_129|一 名 军 团 兵。
mno_id_130|一 名 铁 誓 卫 士。
mno_id_131|一 名 商 人。
menu_id_18|露 丝 契 亚 是 一 片 笼 罩 在 葱 郁 幽 暗 的 雨 林、湿 热 沼 泽 与 太 古 遗 迹 之 中 的 神 秘 大 陆，传 说 与 神 话 在 此 交 织。险 恶 丛 林 深 处，诸 神 之 子 建 立 的 古 老 文 明 仍 在 繁 盛；这 些 被 热 血 种 称 为 蜥 人 的 生 灵，由 古 圣 在 原 初 时 代 创 造，并 不 断 从 神 圣 而 莫 测 的 孵 化 池 中 诞 生，以 各 自 不 同 的 形 态 履 行 大 计 划。很 久 以 前，你 作 为 一 只 灵 蜥 降 生 于 世—— 灵 蜥 是 这 个 社 会 中 最 常 见、也 最 灵 巧 多 才 的 一 族。你 的 孵 化 池 位 于 以 下 神 殿 都 市：
mno_id_133|伊 塔 扎，起 始 之 城 
mno_id_134|赫 斯 欧 塔，太 阳 之 城 
mno_id_135|塔 拉 克 斯 兰，月 亮 之 城 
mno_id_136|斯 兰 雾 佩 克，迷 雾 之 城 
mno_id_137|阿 克 索 特 尔，星 辰 之 城。
mno_id_138|胡 塔，觉 醒 之 城 
menu_id_19|{s10}^^多 年 前，你 出 生 在 熊 神 与 冰 雪 魔 法 的 国 度。你 的 父 亲 曾 是……
mno_id_140|乌 里 克 祭 司。
mno_id_141|女 沙 皇 秘 密 警 察 的 一 员。
mno_id_142|一 位 波 雅 尔。
mno_id_143|一 名 克 萨 弓 手。
mno_id_144|一 名 卡 扎 克 游 牧 民。
mno_id_145|一 位 猎 人。
menu_id_20|{s11}^^你 很 快 便 长 大 成 人，并 将 族 人 的 力 量 与 精 神 融 入 血 脉。年 少 时，你 曾 是……
mno_id_147|一 名 炉 边 帮 工。
mno_id_148|一 名 厄 孙 漫 游 者。
mno_id_149|一 名 冰 巫 女 的 亲 随。
mno_id_150|一 名 阿 塔 曼 顾 问。
mno_id_151|一 名 卡 扎 克 掠 夺 者。
mno_id_152|一 名 德 鲁 日 纳 侍 从。
menu_id_21|多 年 前，你 出 生 在 旧 世 界 极 北 之 地。你 的 父 亲 曾 是……
mno_id_154|一 位 混 沌 勇 士。
mno_id_156|一 位 狂 战 士。
mno_id_157|一 位 伐 木 工。
mno_id_158|一 名 剽 悍 的 蛮 族。
mno_id_159|一 名 酋 长。
menu_id_22|多 年 前，你 出 生 在 丰 饶 的 露 丝 契 亚。你 的 父 亲 曾 是……
mno_id_161|一 位 神 殿 守 卫。
mno_id_163|一 名 古 血 战 士。
mno_id_164|一 名 冷 蜥 冠 军 骑 手。
mno_id_165|一 位 建 筑 师。
mno_id_166|一 名 巨 蜥 训 练 师。
menu_id_23|笨 重、恶 臭、粗 暴、好 战、绿 色—— 完 美 兽 人 的 一 切 特 质。兽 人 受 许 多 人 鄙 视，也 令 大 多 数 人 畏 惧；自 远 古 以 来，他 们 不 断 壮 大 繁 衍。无 论 走 到 哪 里、住 在 哪 里，兽 人 都 会 播 下 未 来 族 群 的 孢 子，而 你 的 故 事 便 由 此 开 始。你 的 躯 体 在 众 多 地 下 真 菌 囊 之 一 中 成 形；你 被 种 在……
mno_id_168|岩 石 地 带。
mno_id_169|火 山 地 带。
mno_id_170|干 旱 地 带。
mno_id_171|森 林 地 带。
mno_id_172|丰 饶 地 带。
mno_id_173|雪 原 地 带。
menu_id_24|过 去 有 绿 皮 的 地 方，未 来 也 必 有 绿 皮，这 是 事 实。而 大 多 数 新 生 绿 皮 都 会 像 你 一 样，是 个 地 精。矮 小、绿 色、秃 顶，尖 鼻 子 大 得 不 合 比 例，嗓 音 嘶 哑 又 尖 利，热 衷 伏 击 与 掠 夺—— 地 精 是 最 常 见、数 量 最 多 的 绿 皮 种 类，几 乎 遍 布 整 个 旧 世 界。你 在 众 多 地 下 真 菌 囊 之 一 中 发 育 成 熟，准 备 破 囊 而 出；你 的 孢 子 被 种 在……
mno_id_175|岩 石 地 带。
mno_id_176|雪 原 地 带。
mno_id_177|森 林 地 带。
mno_id_178|干 旱 地 带。
mno_id_179|草 原 地 带。
mno_id_180|丰 饶 地 带。
menu_id_25|多 年 前，你 出 生 在 遥 远 的 异 域。你 的 父 亲 曾 是……
mno_id_182|一 位 龙 王 子。
mno_id_184|一 名 竞 技 大 会 英 雄。
mno_id_185|一 名 荷 思 剑 圣。
mno_id_186|一 位 战 车 驭 者。
mno_id_187|一 名 贵 族。
mno_id_189|一 位 保 镖。
mno_id_190|一 位 海 盗。
mno_id_191|一 位 刽 子 手。
mno_id_192|一 位 刺 客。
mno_id_193|一 名 弩 术 专 家。
mno_id_194|一 位 恐 惧 骑 士。
menu_id_26|多 年 前，你 出 生 在 矮 人 群 山 终 年 雾 锁 的 深 处。你 的 父 亲 曾 是……
mno_id_196|一 位 酿 酒 大 师。
mno_id_197|一 位 碎 铁 战 士。
mno_id_198|一 名 旋 翼 机 驾 驶 员。
mno_id_199|一 位 符 文 铁 匠。
mno_id_201|一 位 抄 写 员。
menu_id_27|你 出 生 在 旧 世 界 最 阴 暗、最 潮 湿 的 下 水 道 中。你 的 父 亲 曾 是……
mno_id_203|一 位 暴 风 鼠。
mno_id_204|一 位 瘟 疫 祭 司。
mno_id_205|一 名 血 碗 明 星。
mno_id_206|一 位 阴 沟 奔 行 鼠。
mno_id_207|一 名 次 元 石 狙 击 枪 手。
menu_id_28|{s10}^^ 你 的 父 亲 是……
mno_id_210|一 位 战 斗 牧 师。
mno_id_211|一 位 猎 巫 人。
mno_id_212|一 位 工 程 师。
mno_id_213|一 位 瑞 克 禁 卫。
mno_id_214|一 位 巨 剑 士。
mno_id_215|一 位 农 民。
mno_id_217|一 位 圣 杯 骑 士。
mno_id_218|一 名 育 马 人。
mno_id_219|一 名 自 耕 农 守 卫。
mno_id_222|一 名 竞 技 大 会 主 持 人。
mno_id_224|一 位 富 有 的 旅 行 商 人。
mno_id_226|一 名 伊 玛 目。
mno_id_227|一 名 苏 丹 亲 兵。
mno_id_228|一 位 马 穆 鲁 克。
mno_id_229|一 名 苏 丹 亲 卫。
mno_id_231|一 名 倭 寇 海 盗。
mno_id_232|一 位 忍 者。
mno_id_233|一 名 烟 火 匠。
mno_id_234|一 位 园 丁。
mno_id_235|一 位 书 法 家。
mno_id_236|一 位 旗 本。
mno_id_238|一 位 剑 客。
mno_id_239|一 名 醉 汉。
mno_id_240|一 名 领 航 员。
mno_id_241|一 位 船 长。
mno_id_242|一 名 商 人。
mno_id_243|一 位 厨 师。
menu_id_29|{s10}^^在 北 方，当 你 刚 能 感 知 外 界 时，就 别 无 选 择，只 能 学 会 生 存。你 的 少 年 时 光 是 以……的 身 份 度 过 的。
mno_id_245|一 名 坑 斗 士。
mno_id_246|一 名 长 船 领 航 员。
mno_id_247|一 名 掠 夺 者。
mno_id_249|一 位 牧 民。
menu_id_30|{s10}^^你 刚 学 会 走 路 与 说 话，便 开 始 认 识 这 个 世 界。年 少 时，你 曾 是……
mno_id_251|一 名 斥 候。
mno_id_252|一 名 间 谍。
mno_id_253|一 位 格 斗 学 校 的 学 员。
mno_id_254|一 位 监 狱 守 卫。
mno_id_255|一 名 翻 译。
mno_id_256|一 位 商 队 护 卫。
menu_id_31|{s10}^^你 很 早 便 投 身 部 族 生 活。年 少 时，你 曾 是……
mno_id_258|一 位 猎 人。
mno_id_259|一 名 投 石 机 工 程 师。
mno_id_260|一 位 野 猪 骑 手。
mno_id_261|一 名 鼻 涕 精 投 掷 手。
mno_id_263|一 位 萨 满。
menu_id_32|{s10}^^你 或 许 身 材 矮 小，却 怀 有 远 大 野 心。年 少 时，你 曾 是……
mno_id_265|一 名 抢 掠 小 子。
mno_id_266|一 名 捅 刺 小 子。
mno_id_267|史 奎 格 诱 饵。
mno_id_268|一 位 蘑 菇 农。
mno_id_269|一 名 建 造 者。
mno_id_270|一 名 蜘 蛛 教 徒。
mno_id_272|一 位 学 生。
mno_id_273|一 名 盔 甲 匠 学 徒。
mno_id_274|一 位 民 兵。
mno_id_275|一 位 领 主 的 信 使。
mno_id_276|一 位 音 乐 家。
mno_id_277|一 位 哨 兵。
menu_id_33|{s10}^^你 从 小 便 投 身 于 黑 暗 精 灵 的 事 业。年 少 时，你 曾 接 受……
mno_id_279|敏 捷 训 练。
mno_id_282|医 术 训 练。
mno_id_283|连 弩 工 艺 训 练。
mno_id_285|重 新 开 始
mno_id_286|一 位 矿 工。
mno_id_288|一 位 隧 道 工。
mno_id_289|一 名 武 器 匠 学 徒。
mno_id_290|一 位 暴 徒。
menu_id_34|{s10}^^你 的 家 园 阴 暗 而 潮 湿；为 了 活 下 去，你 必 须 在 下 水 道 这 个 鼠 吃 鼠 的 世 界 里 磨 硬 心 肠。年 少 时，你 曾 是……
mno_id_293|一 位 掘 穴 者。
mno_id_294|一 位 次 元 石 矿 工。
mno_id_295|一 位 盾 牌 工 匠。
mno_id_296|一 位 奴 隶。
mno_id_297|一 名 地 牢 跑 腿。
mno_id_298|一 名 地 鼠。
menu_id_35|{s10}^^孩 提 时，你 的 日 子 多 半 是 在 以 下 身 份 中 度 过：
mno_id_300|一 名 田 间 劳 动 者。
mno_id_301|一 名 学 者 门 徒。
mno_id_302|一 名 商 人 学 徒。
mno_id_303|一 名 心 灵 奴 隶。
mno_id_304|一 名 街 头 流 浪 儿。
mno_id_305|一 名 盗 墓 贼。
menu_id_36|{s10}^^
mno_id_307|一 名 树 歌 者。
mno_id_308|一 名 森 林 守 卫。
mno_id_309|一 名 高 裔 者。
mno_id_310|一 位 驯 兽 师。
mno_id_311|一 名 唤 灵 者。
mno_id_312|一 位 狂 野 骑 手。
mno_id_314|一 个 战 场。
mno_id_315|一 幅 符 文 地 图。
mno_id_316|一 次 仪 式。
mno_id_317|一 次 盛 宴。
mno_id_318|一 支 战 争 大 军。
mno_id_319|一 处 船 舶 墓 地。
mno_id_321|索 提 克，蛇 神。
mno_id_322|太 阳 神 柯 泰 戈 
mno_id_323|野 兽 之 神 伊 奇 
mno_id_324|阿 斯 霍 托，冠 军 遴 选 者。
mno_id_325|万 奇，美 洲 虎 神。
mno_id_326|特 拉 佐 科 特 尔，冷 漠 之 神。
menu_id_37|{s11}^^你 刚 学 会 走 路 与 说 话，便 开 始 认 识 这 个 世 界。年 少 时，你 曾 是……
mno_id_329|一 名 法 警。
mno_id_331|一 名 血 碗 球 员。
mno_id_332|一 名 枪 匠。
mno_id_333|一 位 信 使。
mno_id_335|一 名 农 民 弓 箭 手。
mno_id_336|一 名 吟 游 诗 人。
mno_id_337|一 名 前 哨 骑 手。
mno_id_338|一 名 血 碗 球 员。
mno_id_339|一 位 捕 鼠 人。
mno_id_340|一 位 投 石 机 手。
mno_id_342|一 位 医 师。
mno_id_343|一 名 飞 毯 制 造 者。
mno_id_345|一 名 狱 卒。
mno_id_346|一 位 沙 漠 骑 手。
menu_id_38|{s11}^^你 的 家 族 效 忠 于 哪 个 氏 族……
mno_id_349|苇 原 氏 族。
mno_id_350|白 米 氏 族。
mno_id_351|花 细 氏 族。
mno_id_352|真 济 氏 族。
mno_id_353|木 沙 氏 族。
mno_id_354|达 麻 氏 族。
mno_id_356|一 名 使 者。
mno_id_357|一 位 盗 墓 贼。
mno_id_359|一 名 医 护 兵。
mno_id_360|一 位 雇 佣 兵。
menu_id_39|{s11}^^后 来，你 步 入 青 年，人 生 也 随 之 改 变。你 成 为 了……
mno_id_363|一 名 猎 人 与 剥 皮 匠。
mno_id_365|一 名 劫 掠 斥 候。
mno_id_366|一 名 漫 游 者。
mno_id_367|一 名 劫 掠 者。
mno_id_368|一 位 盾 牌 工 匠。
mno_id_371|一 名 冷 蜥 牧 者。
mno_id_372|一 名 武 器 匠。
mno_id_373|一 名 虔 诚 信 徒。
mno_id_374|一 名 竞 技 场 大 师。
mno_id_375|一 位 管 家。
mno_id_377|一 名 头 目。
mno_id_378|一 位 先 知。
mno_id_379|一 位 军 需 官。
mno_id_380|一 名 牙 齿 囤 积 者。
mno_id_381|一 位 隧 道 居 民。
mno_id_382|一 名 海 盗。
mno_id_385|一 名 毒 瘾 者。
mno_id_386|一 名 末 日 俯 冲 者。
mno_id_387|一 名 卑 劣 潜 行 者。
mno_id_388|一 名 狼 骑 手。
mno_id_389|一 名 狡 诈 小 子。
mno_id_391|一 名 行 会 会 长。
mno_id_394|一 位 弓 箭 手。
mno_id_395|一 名 驯 马 师。
mno_id_396|一 名 弩 炮 手。
mno_id_401|一 名 传 令 官。
mno_id_403|一 名 骑 士 学 徒。
mno_id_406|一 名 刺 青 师。
mno_id_407|一 位 狙 击 手。
mno_id_409|一 名 铁 砧 守 卫。
menu_id_40|{s11}^^随 着 身 躯 日 渐 长 成，你 的 人 生 也 随 之 改 变。你 成 为 了……
mno_id_412|一 位 制 毒 师。
mno_id_414|一 名 鼠 辈 打 手。
mno_id_415|一 名 驯 兽 师。
mno_id_416|一 位 武 器 专 家。
menu_id_41|{s11}^^生 命 永 远 消 逝，永 恒 死 亡 取 而 代 之；你 饮 下 了 不 朽 的 诅 咒 之 杯。凭 借 新 获 得 的 力 量，你 立 志 成 为……
mno_id_419|一 位 吸 血 鬼 领 主。
mno_id_420|一 位 血 骑 士。
mno_id_421|一 位 吸 血 鬼 随 从。
mno_id_422|一 名 亡 灵 大 师。
mno_id_423|一 位 掠 夺 者。
mno_id_424|一 名 迷 雾 徘 徊 者。
menu_id_42|{s11}^^
mno_id_426|知 识 之 王，荷 斯。
mno_id_427|丰 收 女 神，艾 莎。
mno_id_428|锻 造 之 神，瓦 尔。
mno_id_429|高 精 女 神，莉 莉 丝。
mno_id_430|罗 伊 克，暗 影 舞 者。
mno_id_431|复 仇 和 追 猎 女 神，安 埃 斯 · 莱 玛。
mno_id_433|一 名 炼 狱 指 挥 官。
mno_id_434|一 位 恶 魔 铁 匠。
mno_id_435|一 名 哈 苏 特 学 者。
mno_id_436|一 位 锻 造 大 师。
mno_id_437|一 位 矿 坑 领 主。
mno_id_438|一 位 游 荡 的 掠 夺 者。
mno_id_440|一 位 酋 长。
mno_id_441|一 名 魔 祭 司。
mno_id_442|一 位 潜 行 者。
mno_id_443|一 位 建 筑 师。
mno_id_444|一 位 丛 林 斗 士。
mno_id_445|一 位 牧 民。
menu_id_43|{s10}^^你 崇 拜 哪 一 位 神 祇？
mno_id_447|恐 虐 
mno_id_448|色 孽 
mno_id_449|纳 垢。
mno_id_450|奸 奇 
menu_id_44|{s10}^^你 的 主 要 饮 食 是 什 么？
mno_id_452|炖 菜 与 土 豆。
mno_id_453|鱼 与 蒸 蔬 菜。
mno_id_454|红 肉 与 肉 汁。
mno_id_455|奶 酪 与 香 肠。
mno_id_456|啤 酒 与 葡 萄 酒。
menu_id_45|{s11}^^年 少 时，你 曾 是……
mno_id_458|一 名 吟 游 诗 人。
mno_id_459|一 位 猎 犬 训 师。
mno_id_460|一 名 箭 匠。
mno_id_461|一 名 厨 师
mno_id_462|一 名 民 兵。
mno_id_463|一 名 斥 候
menu_id_46|{s11}^^你 最 为 人 津 津 乐 道 的 事 迹 是？
mno_id_465|吸 干 一 整 支 帝 国 巡 逻 队 的 鲜 血。
mno_id_466|胸 口 挨 了 一 记 符 文 之 牙 而 幸 存。
mno_id_467|谋 杀 掉 一 名 巴 托 尼 亚 公 主。
mno_id_468|散 播 瘟 疫 的 恶 臭 屁。
mno_id_469|从 未 败 北 的 头 槌 冠 军。
mno_id_470|驯 服 剃 刀 兽。
menu_id_47|食 人 魔^^你 是 一 名 离 开 部 族、踏 上 冒 险 旅 途 的 年 轻 食 人 魔。注 意！你 尚 未 像 旧 世 界 中 那 些 其 他 食 人 魔 一 样 强 大，许 多 大 门 也 会 向 你 关 闭；但 你 拥 有 成 为 强 大 战 士 的 巨 大 潜 力。^^^离 开 食 人 魔 王 国 后，你 在 何 处 落 脚？^(这 将 决 定 你 的 个 人 文 化 与 道 德 倾 向。)
mno_id_472|西 格 玛 帝 国 的 卢 根 巴 特 尔。
mno_id_473|恶 地，与 兽 人 为 伍。
mno_id_474|投 身 受 混 沌 腐 化 的 诺 斯 卡 部 落。
menu_id_48|{s12}^^然 而 不 久 后，一 切 都 变 了。你 决 定 离 开 原 本 的 生 活，独 自 踏 上 冒 险 之 路。促 使 你 作 出 这 一 决 定 的 是……
mno_id_476|私 人 恩 怨。
mno_id_477|失 去 至 亲 的 痛 苦。
mno_id_478|漫 游 癖。
mno_id_479|一 则 预 言。
mno_id_480|被 迫 离 开 家 园。
mno_id_481|对 于 权 力 与 财 富 的 渴 望。
mno_id_482|一 桩 血 誓。
menu_id_49|{s13}
mno_id_484|成 为 冒 险 者，策 马 奔 向 你 的 命 运。
mno_id_485|返 回。
menu_id_50|{s3}
mno_id_486|{s5}
mno_id_487|继 续……
menu_id_52|{s1}
menu_id_53|{s7}{s2}
menu_id_55|{s9}^锦 标 赛 胜 场：{reg19}/{reg20}。
mno_id_505|查 看 特 殊 战 斗 能 力
mno_id_506|查 看 详 细 报 告
mno_id_507|查 看 当 前 作 用 于 你 的 全 部 效 果
menu_id_56|以 下 是 你 已 经 掌 握 的 特 殊 战 斗 能 力：
mno_id_515|闪 避 
mno_id_516|无 视 痛 苦 
mno_id_517|高 级 无 视 痛 苦
mno_id_518|强 力 一 击
mno_id_519|魔 法 抗 性 6+
mno_id_520|魔 法 抗 性 5+
mno_id_521|魔 法 抗 性 4+
mno_id_522|魔 法 抗 性 3+
mno_id_523|魔 法 抗 性 2+
mno_id_524|返 回 角 色 报 告。
menu_id_57|以 下 是 当 前 作 用 于 你 的 效 果：
mno_id_525|4+守 护 豁 免
mno_id_526|5+守 护 豁 免
mno_id_527|6+守 护 豁 免
mno_id_528|再 生 
mno_id_529|+5强 击（饮 用 了 力 量 药 水）。
mno_id_530|+5铁 骨（饮 用 了 韧 性 药 水）。
mno_id_531|+10敏 捷（饮 用 了 战 斗 药 水）。
mno_id_532|灵 体（6+灵 体 豁 免）。
